article_id,year,journal,title
625533,2011,accounting review,discretionary disclosure in financial reporting an examination comparing internal firm data to externally reported segment data
654387,2012,accounting review,is us multinational dividend repatriation policy influenced by reporting incentives
284572,2001,accounting review,estimating the hidden costs of environmental regulation
350306,2004,american economic review,integrated longitudinal employer-employee data for the united states
961344,2019,american economic review,the rise of the gig economy fact ""or"" fiction
133650,1993,american economic review,"SCIENCE, RESEARCH-AND-DEVELOPMENT, AND INVENTION POTENTIAL RECHARGE - UNITED-STATES EVIDENCE"
589994,2011,american economic review,long-term consequences of vietnam-era conscription new estimates using social security data
874946,2017,american economic review,concentrating on the fall of the labor share
350305,2004,american economic review,"using ""insider econometrics"" to study productivity"
874932,2017,american economic review,the expanding gender earnings gap evidence from the lehd 2000 census
177172,1996,american economic review,do preferential procurement programs benefit minority business
233007,1999,american economic review,examining the employer-size wage premium in the manufacturing retail trade and service industries using employer-employee matched data
506483,2009,american economic review,the margins of us trade
545797,2010,american economic review,intrafirm trade and product contractibility
545790,2010,american economic review,wholesalers and retailers in us trade
777289,2015,american economic review,factoryless goods producing firms
828091,2016,american economic review,the rapid adoption of data driven decision making
828128,2016,american economic review,stem training and early career outcomes of female and male graduate students evidence from umetrics data linked to the 2010 census
589997,2011,american economic review,the war at home effects of vietnam era military service on postwar household stability
634686,2012,american economic review,recruiting intensity during and after the great recession national and industry evidence
828104,2016,american economic review,declining business dynamism what we know and the way forward
874975,2017,american economic review,declining dynamism allocative efficiency and the productivity slowdown
828107,2016,american economic review,the role of startups in structural transformation
828083,2016,american economic review,firm level dispersion in productivity is the devil in the details
917513,2018,american economic review,challenges in the measurement of leakage risk
874982,2017,american economic review,job to job flows and earnings growth
233006,1999,american economic review,productivity differences across employers  the roles of employer size age and human capital
120423,1992,american economic review,the toxic intensity of industrial production  global patterns trends and trade policy
634685,2012,american economic review,job to job flows in the great recession
828113,2016,american economic review,evolution of the marriage earnings gap for women
680140,2013,american economic review,immigration and employer transitions for stem workers
160801,1995,american economic review,capital structure and product market rivalry  how do we reconcile theory and evidence
634684,2012,american economic review,hiring churn and the business cycle
917515,2018,american economic review,regulating mismeasured pollution implications of firm heterogeneity for environmental policy
961339,2019,american economic review,four years later insurance coverage and access to care continue to diverge between aca medicaid expansion and non expansion states
874987,2017,american economic review,the role of firms in gender earnings inequality evidence from the united states
590015,2011,american economic review,environmental regulation and labor reallocation evidence from the clean air act
503349,2009,agribusiness,mergers and acquisitions employment wages and plant closures in the us meat product industries
213136,1998,agricultural and resource economics review,innovation and regulation in the pesticide industry
760757,2014,agricultural and resource economics review,direct payments cash rents land values and the effects of imputation in us farm level data
585982,2011,american economic journal: applied economics,schooling and the vietnam era gi bill evidence from the draft lottery
631695,2012,american economic journal: applied economics,reexamining the impact of family planning programs on us fertility evidence from the war on poverty and the early years of title x
637382,2012,american economic journal: applied economics,the opt in revolution contraception and the gender gap in wages
637373,2012,american economic journal: applied economics,raising the barcode scanner technology and productivity in the retail sector
502918,2009,american economic journal: applied economics,the effect of alcohol consumption on mortality regression discontinuity evidence from the minimum drinking age
547950,2010,american economic journal: applied economics,us environmental regulation and fdi evidence from a panel of us based multinational firms
956116,2019,american economic journal: applied economics,using linked survey and administrative data to better measure income implications for poverty program effectiveness and holes in the safety net
872339,2017,american economic journal: applied economics,signing up new fathers do paternity establishment initiatives increase marriage parental investment and child wellbeing
839188,2016,american economic journal: applied economics,does early life exposure to cigarette smoke permanently harm childhood welfare evidence from cigarette tax hikes
937003,2018,american economic journal: economic policy,supply side drug policy in the presence of substitutes evidence from the introduction of abuse deterrent opioids
650448,2012,american economic journal: economic policy,framing social security reform behavioral responses to changes in the full retirement age
727886,2014,american economic journal: economic policy,the differential effects of bilateral tax treaties
502929,2009,american economic journal: economic policy,domestic effects of the foreign activities of us multinationals
604878,2011,american economic journal: economic policy,medicare part d and the financial protection of the elderly
630426,2012,american economic journal: economic policy,inertia and over withholding explaining the prevalence of income tax refunds
975300,2019,american economic journal: economic policy,randomized safety inspections and risk exposure on the job quasi experimental estimates of the value of a statistical life
878784,2017,american economic journal: economic policy,how much can expanding access to long acting reversible contraceptives reduce teen birth rates
958680,2019,american economic journal: economic policy,correcting for misreporting of government benefits
885542,2017,american economic journal: macroeconomics,how important are sectoral shocks
543968,2010,american economic journal: macroeconomics,business volatility job destruction and unemployment
823181,2016,american economic journal: macroeconomics,market exposure and endogenous firm volatility over the business cycle
956564,2019,american economic journal: macroeconomics,reconsidering the consequences of worker displacements firm versus worker perspective
914893,2018,american economic journal: macroeconomics,cyclical job ladders by firm size and firm wage
872349,2017,american economic journal: macroeconomics,the effects of the real oil price on regional wage dispersion
680088,2013,american economic journal: microeconomics,testing for factor price equality with unobserved differences in factor quality ""or"" productivity
744968,2014,american economic journal: microeconomics,mergers and sunk costs an application to the ready mix concrete industry
953095,2019,american economic review,an economic analysis of privacy protection and statistical accuracy as social choices
634715,2012,american economic review,taxes cigarette consumption and smoking intensity comment
936372,2018,american economic review,innovation reallocation and growth
966679,2019,american economic review,missing growth from creative destruction
881732,2017,american economic review,the margins of global sourcing theory and evidence from us firms
927407,2018,american economic review,innovation and production in the global economy
726468,2014,american economic review,vertical integration and input flows
331858,2003,american economic review,plants and productivity in international trade
542499,2010,american economic review,multiple product firms and product switching
734598,2014,american economic review,patent laws product life cycle lengths and multinational activity
647364,2012,american economic review,reset price inflation and the impact of monetary policy shocks
297313,2002,american economic review,the impact of economic conditions on participation in disability programs evidence from the coal boom and bust
959457,2019,american economic review,what drives differences in management practices
