aid,title,reason
625533,discretionary disclosure in financial reporting an examination comparing internal firm data to externally reported segment data,No citations
654387,is us multinational dividend repatriation policy influenced by reporting incentives,No citations
284572,estimating the hidden costs of environmental regulation,No citations
350306,integrated longitudinal employer-employee data for the united states,No citations
961344,"the rise of the gig economy fact """"or"""" fiction",No citations
133650,"SCIENCE, RESEARCH-AND-DEVELOPMENT, AND INVENTION POTENTIAL RECHARGE - UNITED-STATES EVIDENCE",No citations
589994,long-term consequences of vietnam-era conscription new estimates using social security data,No citations
874946,concentrating on the fall of the labor share,No citations
350305,"using ""insider econometrics"" to study productivity",No citations
874932,the expanding gender earnings gap evidence from the lehd 2000 census,No citations
177172,do preferential procurement programs benefit minority business,No citations
233007,examining the employer-size wage premium in the manufacturing retail trade and service industries using employer-employee matched data,No citations
506483,the margins of us trade,No citations
545797,intrafirm trade and product contractibility,No citations
545790,wholesalers and retailers in us trade,No citations
777289,factoryless goods producing firms,No citations
828091,the rapid adoption of data driven decision making,No citations
828128,stem training and early career outcomes of female and male graduate students evidence from umetrics data linked to the 2010 census,No citations
589997,the war at home effects of vietnam era military service on postwar household stability,No citations
634686,recruiting intensity during and after the great recession national and industry evidence,No citations
828104,declining business dynamism what we know and the way forward,No citations
874975,declining dynamism allocative efficiency and the productivity slowdown,No citations
828107,the role of startups in structural transformation,No citations
828083,firm level dispersion in productivity is the devil in the details,No citations
917513,challenges in the measurement of leakage risk,No citations
874982,job to job flows and earnings growth,No citations
233006,productivity differences across employers  the roles of employer size age and human capital,No citations
120423,the toxic intensity of industrial production  global patterns trends and trade policy,No citations
634685,job to job flows in the great recession,No citations
828113,evolution of the marriage earnings gap for women,No citations
680140,immigration and employer transitions for stem workers,No citations
160801,capital structure and product market rivalry  how do we reconcile theory and evidence,No citations
634684,hiring churn and the business cycle,Not in WOS or Misspelling
917515,regulating mismeasured pollution implications of firm heterogeneity for environmental policy,No citations
961339,four years later insurance coverage and access to care continue to diverge between aca medicaid expansion and non expansion states,No citations
874987,the role of firms in gender earnings inequality evidence from the united states,No citations
590015,environmental regulation and labor reallocation evidence from the clean air act,No citations
503349,mergers and acquisitions employment wages and plant closures in the us meat product industries,No citations
213136,innovation and regulation in the pesticide industry,No citations
760757,direct payments cash rents land values and the effects of imputation in us farm level data,Not in WOS or Misspelling
585982,schooling and the vietnam era gi bill evidence from the draft lottery,No citations
631695,reexamining the impact of family planning programs on us fertility evidence from the war on poverty and the early years of title x,No citations
637382,the opt in revolution contraception and the gender gap in wages,No citations
637373,raising the barcode scanner technology and productivity in the retail sector,No citations
502918,the effect of alcohol consumption on mortality regression discontinuity evidence from the minimum drinking age,No citations
547950,us environmental regulation and fdi evidence from a panel of us based multinational firms,No citations
956116,using linked survey and administrative data to better measure income implications for poverty program effectiveness and holes in the safety net,No citations
872339,signing up new fathers do paternity establishment initiatives increase marriage parental investment and child wellbeing,No citations
839188,does early life exposure to cigarette smoke permanently harm childhood welfare evidence from cigarette tax hikes,No citations
937003,supply side drug policy in the presence of substitutes evidence from the introduction of abuse deterrent opioids,No citations
650448,framing social security reform behavioral responses to changes in the full retirement age,No citations
727886,the differential effects of bilateral tax treaties,No citations
502929,domestic effects of the foreign activities of us multinationals,No citations
604878,medicare part d and the financial protection of the elderly,No citations
630426,inertia and over withholding explaining the prevalence of income tax refunds,No citations
975300,randomized safety inspections and risk exposure on the job quasi experimental estimates of the value of a statistical life,No citations
878784,how much can expanding access to long acting reversible contraceptives reduce teen birth rates,No citations
958680,correcting for misreporting of government benefits,No citations
885542,how important are sectoral shocks,No citations
543968,business volatility job destruction and unemployment,No citations
823181,market exposure and endogenous firm volatility over the business cycle,No citations
956564,reconsidering the consequences of worker displacements firm versus worker perspective,No citations
914893,cyclical job ladders by firm size and firm wage,No citations
872349,the effects of the real oil price on regional wage dispersion,No citations
680088,"testing for factor price equality with unobserved differences in factor quality """"or"""" productivity",No citations
744968,mergers and sunk costs an application to the ready mix concrete industry,No citations
953095,an economic analysis of privacy protection and statistical accuracy as social choices,No citations
634715,taxes cigarette consumption and smoking intensity comment,No citations
936372,innovation reallocation and growth,No citations
966679,missing growth from creative destruction,No citations
881732,the margins of global sourcing theory and evidence from us firms,No citations
927407,innovation and production in the global economy,No citations
726468,vertical integration and input flows,No citations
331858,plants and productivity in international trade,No citations
542499,multiple product firms and product switching,No citations
734598,patent laws product life cycle lengths and multinational activity,No citations
647364,reset price inflation and the impact of monetary policy shocks,No citations
297313,the impact of economic conditions on participation in disability programs evidence from the coal boom and bust,No citations
959457,what drives differences in management practices,No citations
198505,an empirical assessment of the proximity concentration trade off between multinational sales and trade,No citations
678383,assessing the incidence and efficiency of a prominent place based policy,No citations
192422,aggregate employment dynamics  building from microeconomic evidence,No citations
775202,reallocation and technology evidence from the us steel industry,No citations
133654,the aggregate implications of machine replacement  theory and evidence,No citations
238985,machine replacement and the business cycle  lumps and bumps,No citations
