aid,title
634684,hiring churn   the business cycle
760757,direct payments cash rents land values   the effects of imputation in  farm level data
418484,supermarket human resource practices   competition from mass merchandisers
878828,second trimester sunlight   asthma evidence from two independent studies
177261,employer size   the wage structure in  manufacturing
339705,ethnicity language   workplace segregation evidence from a new matched employer employee data set
578780,spatial mismatch immigrant networks   hispanic employment in the united states
177254,using longitudinal data on establishments to analyze the effects of unio* *ganizing campaigns in the united states
924203,sorting between   within industries a testable model of assortative matching
104090,the cyclical behavior of the gross flows of  workers comments
104091,the cyclical behavior of the gross flows of  workers comments
216133,patterns of advanced technology adoption   manufacturing performance
307736,race   gender differences in business ownership   business turnover
885758,food   beverage television advertising exposure   youth consumption body mass index   adiposity outcomes viewpoint
466699,participation in export markets   productivity of plants in los angeles 19871997
376659,technological evolution as creative destruction of process heterogeneity evidence from  plant level data
224353,the effect of technology use on productivity growth
353675,information technology investment   firm performance in  retail trade
307952,an option value approach to technology adoption in  manufacturing evidence from microdata
490626,professional employer organizations what are they who uses them   why should we care
758937,black white differences in intergenerational economic mobility in the united states
201795,firm performance   evolution  empirical regularities in the  microdata
877529,plant exit    imports from low wage countries
673556,the task composition of offshoring by  multinationals
317685,employer offers private coverage   the tax subsidy for health insurance 1987   1996
294595,employer contribution methods   health insurance premiums does managed competition work
401228,employer choices of family premium sharing
670576,persistent interindustry wage differences rent sharing   opportunity costs
718639,the plant lifecycle of the average wage of employees in  manufacturing
718638,the recent decline in employment dynamics
515753,the impact of hurricanes katrina rita   wilma on business establishments
390998,a change of pace comparing the 1994   1999 pollution abatement costs   expenditures surveys
493258,consistent cell means for top coded incomes in the public use march cps (1976 2007)
268496,survey attrition considerations in the medical expenditure panel survey
712747,occupation inflation in the current population survey
911029,the annual survey of entrepreneurs
753837,computer networks   productivity revisited does plant size matter evidence   implications
412354,using census business data to augment the mepsic
140123,manufacturing establishments reclassified into new industries the effect of survey design rules
227747,the manufacturing plant ownership change database  its construction   usefulness
493259,capital energy substitution revisited new evidence from micro  data
665832,a concordance between ten digit  harmonized system codes   sic/naics product classes   industries
933182,economic policies with endogenous entry   exit of plants
305963,the market for tornado safety analysis of applications to the oklahoma safe room initiative
326465,(startup or start up) financing owner characteristics   survival
736059,delegation in multi establishment firms evidence from it purchasing
887156,the effect of environmental regulation on plant level product mix a study of epas cluster rule
855380,saying i dont the effect of the affordable care act young adult provision on marriage
103018,new data bases in human resources  the characteristics of business owners data base
614962,plant level responses to anti dumping duties evidence from  manufacturers
823388,intra firm trade   vertical fragmentation in  multinational corporations
984212,earnings inequality   mobility trends in the united states nationally representative estimates from longitudinally linked employeremployee data
834838,its where you work increases in the dispersion of earnings across establishments   individuals in the united states
212026,inter firm segregation   the black/white wage gap
89093,firm entry   post entry performance in the  chemical industries
119665,the extent   nature of establishment level diversification in sixteen  manufacturing industries
982814,trouble in the tails what we know about earnings non response thirty years after lillard smith   welch
984235,producer price dispersion real output   the analysis of production
428402,assessing multidimensional performance environmental   economic outcomes
984227,measuring total factor productivity technical change   the rate of returns to research   development
257587,the census of construction industries database
700062,industrial concentration of ethnic minority   women owned businesses evidence from the survey of business owners in the united states
984223,labor reallocation employment   earnings vector auto regression evidence
951438,screening spin outs how non compete enforceability affects the creation growth   survival of new firms
316797,unlocking the information in integrated social data
388112,international licensing   the strengthening of intellectual property rights in developing countries during the 1990s
361558,economic impacts of new unionization on private sector employers 19842001
524980,the industry lifecycle of the size distribution of firms
122184,r d reactions to high technology import competition
942147,male earnings marriageable men   non marital fertility evidence from the fracking boom
984230,grownup business cycles
355924,entry expansion   intensity in the  export boom 1987 1992
222563,labor productivity   wages in rural   urban manufacturing plants
867316,selection   specialization in the evolution of marriage earnings gaps
245360,exiting self employment an analysis of asian immigrant owned small businesses
131681,factor substitution in small   large  manufacturing establishments  197782
869112,the impact of the acas extension of coverage to dependents on young adults access to care   prescription drugs
757933,levels   trends in  income   its distribution a crosswalk from market income towards a comprehensive haigsimons income approach
744607,synthetic establishment data origins   introduction to current research
931247,assimilation   coverage of the foreign born population in administrative records
744611,a first step towards a german synlbd constructing a german longitudinal business database
931246,when race   hispanic origin reporting are discrepant across administrative records   third party sources exploring methods to assign responses
948670,evaluating race   hispanic origin responses of medicaid participants using census data
744608,expanding the role of synthetic data at the  census bureau
744609,looking back on three years of using the synthetic lbd beta
827880,using partially synthetic microdata to protect sensitive cells in business statistics
595232,structural change   industrial classification
984219,earnings inequality   coordination costs evidence from  law firms
339113,what determines environmental performance at paper mills the roles of abatement spending regulation   efficiency
