articleID,year,journal,title_original,Title
100056,1990,international journal of industrial organization,cost overruns in long term projects,cost overruns in long term projects
100185,1990,journal of agricultural economics,cereal supply policy instruments:  an attitudinal survey among farmers in england,cereal supply policy instruments an attitudinal survey among farmers in england
100200,1990,journal of agricultural economics,value-adding activity and employment in the beef and sheep processing sector in northern ireland,valueadding activity and employment in the beef and sheep processing sector in northern ireland
100218,1990,journal of the american statistical association,error models for official mortality forecasts,error models for official mortality forecasts
100219,1990,journal of the american statistical association,density estimation with confidence sets exemplified by superclusters and voids in the galaxies,density estimation with confidence sets exemplified by superclusters and voids in the galaxies
100226,1990,journal of the american statistical association,fast evaluation of the distribution of the durbin-watson and other invariant test statistics in time series regression,fast evaluation of the distribution of the durbinwatson and other invariant test statistics in time series regression
100227,1990,journal of the american statistical association,on the behavior of randomization tests without a group invariance assumption,on the behavior of randomization tests without a group invariance assumption
100228,1990,journal of the american statistical association,construction of permutation tests,construction of permutation tests
100229,1990,journal of the american statistical association,a monte carlo implementation of the em algorithm and the poor man's data augmentation algorithms,a monte carlo implementation of the em algorithm and the poor mans data augmentation algorithms
100230,1990,journal of the american statistical association,a frequency domain selection criterion for regression with autocorrelated errors,a frequency domain selection criterion for regression with autocorrelated errors
100231,1990,journal of the american statistical association,calibrating prediction regions,calibrating prediction regions
100235,1990,journal of the american statistical association,kernel smoothing of data with correlated errors,kernel smoothing of data with correlated errors
100239,1990,journal of the american statistical association,a one-sided studentized range test for testing against a simple ordered alternative,a onesided studentized range test for testing against a simple ordered alternative
100240,1990,journal of the american statistical association,assessing the effects of multiple rows on the condition number of a matrix,assessing the effects of multiple rows on the condition number of a matrix
100241,1990,journal of the american statistical association,confidence intervals for probabilities and tolerance regions based on a generalization of the mann-whitney statistic,confidence intervals for probabilities and tolerance regions based on a generalization of the mannwhitney statistic
100244,1990,journal of the american statistical association,estimation for partially nonstationary multivariate autoregressive models,estimation for partially nonstationary multivariate autoregressive models
100247,1990,journal of the american statistical association,state-dependent utilities,statedependent utilities
100254,1990,journal of the american statistical association,regression estimates in federal welfare quality control programs:  rejoinder,regression estimates in federal welfare quality control programs rejoinder
100256,1990,journal of the american statistical association,food stamp payment error rates:  can state-specific performance standards be developed?,food stamp payment error rates can statespecific performance standards be developed
100280,1990,journal of banking and finance,performance of currency portfolios chosen by a bayesian technique: 1967-1985,performance of currency portfolios chosen by a bayesian technique 19671985
100301,1990,journal of business and economic statistics,embodied technological change and tests of the internal-adjustment-cost hypothesis,embodied technological change and tests of the internaladjustmentcost hypothesis
100336,1990,journal of development economics,"determinants of the tariff structure of the israeli industrial sector, 1965-1977",determinants of the tariff structure of the israeli industrial sector 19651977
100337,1990,journal of development economics,a sectoral accounting approach to national savings applied to korea,a sectoral accounting approach to national savings applied to korea
100338,1990,journal of development economics,on measuring the relative size of the unregulated to the regulated money market over time,on measuring the relative size of the unregulated to the regulated money market over time
100339,1990,journal of development economics,does regulation improve small farmers' access to brazilian rural credit?,does regulation improve small farmers access to brazilian rural credit
100340,1990,journal of development economics,is profit sharing a cure for unemployment in less developed countries?,is profit sharing a cure for unemployment in less developed countries
100341,1990,journal of development economics,complementarity between public and private investment in india,complementarity between public and private investment in india
100342,1990,journal of development economics,shifts over time and regional variation in women's labor force participation rates in a developing economy:  the case of greece,shifts over time and regional variation in womens labor force participation rates in a developing economy the case of greece
100343,1990,journal of development economics,"the ramaswami proposition and the choice among labor, capital and technology flows",the ramaswami proposition and the choice among labor capital and technology flows
100344,1990,journal of development economics,concentration and instability revisited,concentration and instability revisited
100345,1990,journal of development economics,concentration and instability:  again,concentration and instability again
100346,1990,journal of development economics,corruption and allocation efficiency,corruption and allocation efficiency
100366,1990,journal of econometrics,are consumption-based intertemporal capital asset pricing models structural?,are consumptionbased intertemporal capital asset pricing models structural
100367,1990,journal of econometrics,using conditional moments of asset payoffs to infer the volatility of intertemporal marginal rates of substitution,using conditional moments of asset payoffs to infer the volatility of intertemporal marginal rates of substitution
100387,1990,journal of economics and business,is normative portfolio theory dead?,is normative portfolio theory dead
