articleID,year,journal,title_original,Title,abstract
100056,1990,international journal of industrial organization,cost overruns in long term projects,cost overruns in long term projects,"To evaluate the comparative efficacy and cost-effectiveness of various antihypertensive medications in persons aged 35 through 64 years with diastolic blood pressure of 95 mm Hg or greater and no known coronary heart disease, we used the Coronary Heart Disease Policy Model, which is a computer simulation of overall mortality as well as the mortality, morbidity, and cost of coronary heart disease in the US population. From the pooled literature, we estimated the antihypertensive and total cholesterol effects of various antihypertensive regimens. For 20 years of simulated therapy from 1990 through 2010, the cost per year of life saved was projected to be $10,900 for propranolol hydrochloride; $16,400 for hydrochlorothiazide; $31,600 for nifedipine; $61,900 for prazosin hydrochloride; and $72,100 for captopril. Doubling the cholesterol effects of the agents under study did not significantly change their effectiveness because, in general, lowering diastolic blood pressure by 1 mm Hg was equivalent to lowering the cholesterol level by 6%. Although any projection requires multiple estimates, each of which may be open to debate, propranolol appears to be the preferred initial option under most of a variety of alternative assumptions. Collapse"
100185,1990,journal of agricultural economics,cereal supply policy instruments:  an attitudinal survey among farmers in england,cereal supply policy instruments an attitudinal survey among farmers in england,ERR
100200,1990,journal of agricultural economics,value-adding activity and employment in the beef and sheep processing sector in northern ireland,value adding activity and employment in the beef and sheep processing sector in northern ireland,ERR
100218,1990,journal of the american statistical association,error models for official mortality forecasts,error models for official mortality forecasts,"""The Office of the Actuary, U.S. Social Security Administration, produces alternative forecasts of mortality to reflect uncertainty about the future.... In this article we identify the components and assumptions of the official forecasts and approximate them by stochastic parametric models. We estimate parameters of the models from past data, derive statistical intervals for the forecasts, and compare them with the official high-low intervals. We use the models to evaluate the forecasts rather than to develop different predictions of the future. Analysis of data from 1972 to 1985 shows that the official intervals for mortality forecasts for males or females aged 45-70 have approximately a 95% chance of including the true mortality rate in any year. For other ages the chances are much less than 95%."" Collapse"
100219,1990,journal of the american statistical association,density estimation with confidence sets exemplified by superclusters and voids in the galaxies,density estimation with confidence sets exemplified by superclusters and voids in the galaxies,"Abstract A method is presented for forming both a point estimate and a confidence set of semiparametric densities. The final product is a three-dimensional figure that displays a selection of density estimates for a plausible range of smoothing parameters. The boundaries of the smoothing parameter are determined by a nonparametric goodness-of-fit test that is based on the sample spacings. For each value of the smoothing parameter our estimator is selected by choosing the normal mixture that maximizes a function of the sample spacings. A point estimate is selected from this confidence set by using the method of cross-validation. An algorithm to find the mixing distribution that maximizes the spacings functional is presented. These methods are illustrated with a data set from the astronomy literature. The measurements are velocities at which galaxies in the Corona Borealis region are moving away from our galaxy. If the galaxies are clustered, the velocity density will be multimodal, with clusters correspond... Collapse"
100226,1990,journal of the american statistical association,fast evaluation of the distribution of the durbin-watson and other invariant test statistics in time series regression,fast evaluation of the distribution of the durbin watson and other invariant test statistics in time series regression,"Abstract A method is given for evaluating p values in O(n) operations for a general class of invariant test statistics that can be expressed as the ratio of quadratic forms in time series regression residuals. The best known of these is the Durbin-Watson statistic, although several others have been discussed in the literature. The method is numerically exact in the sense that the user specifies the error tolerance at the outset. As with existing exact methods, the problem is reexpressed in terms of the distribution function of a single quadratic form in independent normals, which is evaluated by numerically inverting its characteristic function. Existing methods, however, calculate the characteristic function by reducing the matrix defining the quadratic form to either eigenvalue or tridiagonal form, each of which requires O(n 3) operations for sample size n, whereas the new method uses a modification of the Kalman filter to do it in O(n) operations. Moreover, the new method has minimal storage requiremen... Collapse"
100227,1990,journal of the american statistical association,on the behavior of randomization tests without a group invariance assumption,on the behavior of randomization tests without a group invariance assumption,"Abstract Fisher's randomization construction of hypothesis tests is a powerful tool to yield tests that are nonparametric in nature in that their level is exactly equal to the nominal level in finite samples over a wide range of distributional assumptions. For example, the usual permutation t test to test equality of means is valid without a normality assumption of the underlying populations. On the other hand, Fisher's randomization construction is not applicable in this example unless the underlying populations differ only in location. In general, the basis for the randomization construction is invariance of the probability distribution of the data under a transformation group. It is the goal of this article to understand the robustness properties of randomization tests by studying their asymptotic validity in situations where the basis for their construction breaks down. Here, asymptotic validity refers to whether the probability of a Type I error tends asymptotically to the nominal level. In particula... Collapse"
100228,1990,journal of the american statistical association,construction of permutation tests,construction of permutation tests,"1. I n t r o d u c t i o n Randomness have been playing an ever increasing role in computer science. The demand for cheap random bits and repeatabil i ty of random experiments have resulted in the need for pseudorandom generators. Clearly one has to be careful in the design of a pseudorandom generator to make sure that the output behaves ""randomly"". Classically this meant that the sequence produced by the generator passed certain statistical tests (see Knuth [K]). This point of view was dramatically changed in 1982 by the papers by Blum and Micali IBM] and Yao [Y]. One important change was a new definition of what should be required of a pseudorandom generator, namely its output should be indistinguishable from truly random bits by all probabilistic polynomial t ime algorithms. The second important contribution was the construction of pseudorandom generators satisfying this new stringent definition (under some specific assumption). Blum and Micali's generator IBM] was proved secure under the assumption that the discrete logar i thm problem was hard and Yao generalized this to show how to construct a secure generator from any oneway permutat ion. Of course it would be very nice to prove that a given generator is secure without any assumptions, Permission to copy without fee all or part of this material is granted provided that the copies are not made or distributed for direct commercial advantage, the ACM copyright notice and the title of the publication and its date appear, and notice is given that copying is by permission of the Association for Computing Machinery. To copy otherwise, or to republish, requires a fee and/or specific permission. but to unconditionally prove that a generator is secure is at least as difficult as proving that N P ~ P and thus this seems too much to ask for. The next best thing is to investigate exactly what assumptions are required. In 1985, Levin [L] proved that necessary and sufficient conditions for the existence of a secure generator is the existence of a function which is oneway on its iterates. This condition is not, however, completely natural and thus the search for more natural conditions continued. Goldreich, Krawczyk and Luby [GKL] gave a construction for a secure generator given the existence of a regular oneway function. Then recently, Impagliazzo, Levin and Luby JILL] proved that the existence of a oneway function in the nonuniform model (i.e. cannot be inverted by polynomial size circuits) implies the existence of nonuniformly secure generators (i.e. cannot be distinguished from random bits by polynomial size circuits). Their teclmique did not extend to show that the existence of a oneway function in the uniform model guarantees the existence of generators which are uniformly secure, and the main open question in the area was to prove that this is the case. The main result of this paper is to indeed prove that oneway functions in the uniform model imply uniformly secure generators. Since it is easy to see that secure generators imply oneway functions we have hence obtained natural necessary and sufficient conditions for the existence of secure generators. Our construction uses mostly the same ideas as [ILL]. A key concept of JILL] is that of a false entropy generator (FEG). A function g is a FEG if the distribution G generated by picking a random x and computing g(x) is indistinguishable from a distribution D, where D has higher entropy than G. In the uniform case we also want D to be polynomial time samplable i.e. that there is a probabilistic polynomial t ime algorithm that outputs a random element from D: JILL] proved that the existence of a FEG implies the existence of a secure pseudorandom generator (this has been strengthened by Oded Go, tire© 1990 ACM 089791-361-2/90/0005/0395 $1.50 395 ich [G] to show that if there are two distributions that computationally indistinguishable but statistically different then there exists secure generators). Let f be a oneway permutat ion and b a predicate that is hard to approximate given the information f (x) . Consider g(x) = (f(~:), b(x)) and let G be the distribution generated by g on a random input. Since b is hard to approximate, G is indistinguishable from D = (f(x), r) where r is a random bit and D has higher entropy than G since if f is a permutation, then f (x) determines z and hence b(z) uniquely. Thus g is a FEG. It seems like this construction on top of a oneway function f needs a predicate b which is hard given f . However by the elegant result by Goldreich and Levin [GL] we know that we can always take b to be a random xor. Let us now turn to the case where f is not a permutation. In this case ( f (x ) ,b (z ) ) is still indistinguishable from (f(x), r) but g might still not be a FEG. The reason is that f ( x ) does not any more determine b(x) and hence it is not clear that changing b(x) to a random bit increases the entropy, fILL] solved this problem by output t ing also a hashfunction h(x) in order to determine x uniquely, and letting g'(x) = (f(z) , h(z), b(x)). The corresponding distribution G ~ now has lower entropy then the distribution given by ( f (x) , h(z), r) where r is a random bit. However, releasing extra information about x might help an algorithm that tries to invert f and if h(x) outputs too many bits, the mapping x (f(z), h(x)) might not be oneway and thus the output of g' could be distinguishable from (f(x), h(z), r). It turns out that it is both profitable and safe to change b(x) to a random bit when h outputs approximately log i f -1 ( f(z)) I bits. However this creates a nonuniform competing distribution (since cannot compute this number) and this is the source of the nonuniformity of fILL]. We get around this problem by generating many xi and computing f(xi), b(xi) and h(xi) for hash functions of random sizes. We then output all f(xi), h(xi), 11~[1~ and M where M is random matrix and B is the vector of the b(xi) values. If the size of M is chosen correctly this is indistinguishable from the distribution where everything is identical except that B is chosen randomly and this latter distribution has a higher entropy. The main difficulty in the proof is to prove that MB is indistinguishable from M Y where Y is picked randomly. The proof of this is similar to the proof of Levin [L] of the sharp version of Yao's XOR-lemma. The present lemma proves more than is needed for the present application. Namely, we prove that if B consists of bits that each can be guessed with probability at most (1 + p)/2 (over the input and the coinflips of the algorithm) then the conclusion follows (for suitable choice for the size of M). However, in our application, with probability 1 p (over the input), no probabilistic polynomial time algorithm can gain any significant advantage over guessing, and with probability p (over the input) the bit might be totally predictable. Using this stronger property it is possible to give a simpler proof. This simpler proof will appear in a forthcoming journal paper, which will be a combination of the present paper and fILL]. In this paper we prove the stronger lemma by the more complicated proof since we believe that the stronger version of the lemma is interesting on its"
100229,1990,journal of the american statistical association,a monte carlo implementation of the em algorithm and the poor man's data augmentation algorithms,a monte carlo implementation of the em algorithm and the poor mans data augmentation algorithms,"Abstract The first part of this article presents the Monte Carlo implementation of the E step of the EM algorithm. Given the current guess to the maximizer of the posterior distribution, latent data patterns are generated from the conditional predictive distribution. The expected value of the augmented log-posterior is then updated as a mixture of augmented log-posteriors, mixed over the generated latent data patterns (multiple imputations). In the M step of the algorithm, this mixture is maximized to obtain the update to the maximizer of the observed posterior. The gradient and Hessian of the observed log posterior are also expressed as mixtures, mixed over the multiple imputations. The relation between the Monte Carlo EM (MCEM) algorithm and the data augmentation algorithm is noted. Two modifications to the MCEM algorithm (the poor man's data augmentation algorithms), which allow for the calculation of the entire posterior, are then presented. These approximations serve as diagnostics for the validity o... Collapse"
100230,1990,journal of the american statistical association,a frequency domain selection criterion for regression with autocorrelated errors,a frequency domain selection criterion for regression with autocorrelated errors,"Abstract We consider the regression model yt = η t + e t , t = 0, 1, …, n − 1, where y t are scalar observations, η t is the unknown regression function, and e t are unobservable errors generated by a zero-mean weakly stationary process, independent of η t and with completely unknown autocorrelation structure. We propose a data-driven method for selecting a parametric or nonparametric estimator of η t . The method is based on cross-validation in the frequency domain and requires no assumptions about the form of the estimator or the error correlations. It does, however, require the discrete Fourier transform (DFT) of the signal η t to be a smooth complex function of frequency, as is the case, for example, with transient signals or growth and decay curves. After giving some general motivations for the method, we focus on the special case of linear estimators of a nonparametric regression function, including both kernel and spline estimators. For these estimators, we develop efficient methods of evaluating t... Collapse"
100231,1990,journal of the american statistical association,calibrating prediction regions,calibrating prediction regions,"Abstract Suppose that the variable X to be predicted and the learning sample Yn that was observed have a joint distribution, which depends on an unknown parameter θ. The parameter θ can be finite- or infinite-dimensional. A prediction region Dn for X is a random set, depending on Yn , that contains X with prescribed probability α. This article studies methods for controlling simultaneously the conditional coverage proability of Dn , given Yn , and the overall (unconditional) coverage probability of Dn . The basic construction yields a prediction region Dn , which has the following properties in regular models: Both the conditional and overall coverage probabilities of Dn converge to α as the size n of the learning sample increases. The convergence of the former is in probability. Moreover, the asymptotic distribution of the conditional coverage probability about α is typically normal; and the overall coverage probability tends to α at rate n −1. Can one reduce the dispersion of the conditional coverage pr... Collapse"
100235,1990,journal of the american statistical association,kernel smoothing of data with correlated errors,kernel smoothing of data with correlated errors,"Cereal Chem. 69(3):254-257 A direct-drive, 2-g mixograph was used to examine the heritability offspring-parent heritability within and over crosses. These results demonof mixing characteristics in wheat flours. A good range of variation in strate that the 2-g mixograph meets the requirements for use in early mixograph parameters (each with acceptable errors of determination) was generation selection for wheat quality. The value of the instrument was found for flours derived from the seed of F2, single-plant selections and confirmed by simulated selection based on guideline values for two wheat in their F3 progeny. The results agreed well over years for the important grades and the response to selection as measured using realized heritability variables of time to maximum resistance (mixing time) and tolerance estimates. to mixing (resistance breakdown), as evidenced by the medium-to-high Cereal laboratories involved with wheat breeding programs continually develop and evaluate new procedures that can be applied to early generation selection for wheat quality. Such procedures must be simple, rapid, and reliable, and they must use only a small quantity of seed, have high correlations with end-use properties, and retain their predictive capacity independent of the location or year of growth. The advantages of such early generation testing procedures are that they result in more efficient use of limited cereal laboratory and breeding resources. Subsequent costly tests for field plot disease resistance, yield, milling, physical dough properties, and baking need only be conducted on lines that have an enhanced probability of having acceptable end-use quality. Early generation quality tests are many and varied in type, ranging from sedimentation tests of wheat meals and flour (e.g., Zeleny volume, sodium dodecyl sulfate volume, alkaline waterretention capacity) or yeasted wheat meal or flour dough balls (e.g., Pelshenke time) to varied flour-water dough mixing tests (e.g., mixograph [TMCO, Lincoln, NE] and farinograph [Brabender, Duisberg, Germany]), and microscale test baking procedures (MacRitchie and Gras 1973, Shogren and Finney 1984). The results of testing for kernel hardness, protein content, and rate of dough development have been shown to provide adequate prediction of test loaf quality (Fowler and de la Roche 1975a). Each of these parameters showed considerable, although population dependent, genetic variation (Fowler and de la Roche 1975b). Similarly, response to early generation selection has been reported for the use of measures of kernel hardness, protein content, and small-scale tests correlated with dough strength such as sodium dodecyl sulfate volume, percent residue protein, Zeleny volume, and Pelshenke time (Fischer et al 1989, O'Brien et al 1989). The use of a mixograph employing 10 g of flour (Finney and Shogren 1972) has enabled breeders to select directly for physical dough properties in early generations. The need to mill at least 15 g of seed to produce the flour for this purpose may have restricted its application in early generations in many breeding programs. A smaller recording mixer utilizing 5 g of flour has been reported recently (Finney 1989). A test that required even smaller sample sizes (2 g of flour obtained from 3-5 g of seed) would have many applications. It could be widely used in laboratories for basic research on wheat quality where quantity of sample is a major limitation. However, 'This is the written version of a paper presented at the 76th annual meeting of the AACC, held in Seattle, WA, October 13-16, 1991. 2 Grain Quality Research Laboratory, CSIRO Division of Plant Industry, P.O. Box 7, North Ryde NSW 2113, Australia. 3 The University of Sydney, Plant Breeding Institute, I. A. Watson Wheat Research Centre, Narrabri NSW 2390, Australia. © 1992 American Association of Cereal Chemists, Inc. the most widespread application would be for quality evaluation in the early generations of wheat breeding programs, allowing early generation testing for physical dough properties to be applied to any breeding program. Seed from single plants, progeny rows, or yield plots could be evaluated. The applicability of an early generation test relies not only on its correlation with standard measures of wheat quality, but also on the response measurable within segregating breeding populations in the generation following selection. This article reports the use of a direct-drive 2-g mixograph (Rath et al 1990) to determine the physical dough properties of flours from F2 singleplant selections. The accuracy and effectiveness of the procedure was evaluated on the resulting F3 progeny. MATERIALS AND METHODS Single plant-selections from the F2 generation of three crosses, Suneca/ Sunfield (SS), Vasco/ Hartog/ / Vasco (VH), and Sunbird/Dollarbird (SD), and their derived F3 lines were used in this study. In the F2 generation single plants were selected from space-planted rows on the basis of having acceptable straw strength, lodging resistance, height, flowering time, and maturity for the target region of the breeding program (northern NSW, Australia). Seed of the single plants was stored in a seed room for a minimum period of three weeks until it had equilibrated to approximately 12% moisture content. Ten grams of seed was preconditioned to 15% moisture content for 24 hr before being milled with a Quadrumat Junior flour mill (Brabender, Duisberg, Germany) fitted with a sieving screen covered with 9XX silk mesh. The milling procedure followed was similar to that described by Whan (1974). In the F3 generation the lines were sown in separate two-replicate experiments with randomized complete block designs, one for each cross. Each experiment included the parents of the cross and the varieties Sunco, Hartog, and Sunelg as checks. Plots were harvested with a plot combine, and a 10-g subsample of each replicate was milled to flour following the same procedures as for the F2 generation. Flour protein contents were determined by near-infrared reflectance spectrometry, using a calibration based on Kjeldahl analysis (protein = N X 5.7). All flours were equilibrated for 72 hr at 220 C with air at 60% relative humidity to obtain a moisture content of approximately 12.8% before mixograph testing (Bushuk and Winkler 1957). Water additions for mixing tests were calculated according to a formula relating water addition to flour moisture and protein content (AACC 1983). Mixing parameters were obtained with a prototype recording dough mixer (TMCO, Lincoln, NE) employing 2 g of flour per measurement (Rath et al 1990). Mixing parameters were obtained by automated interpretation of the recorded data using specially written software (Gras et al 1990). Mixing parameters were measured from the center line of the recorded data after 254 CEREAL CHEMISTRY smoothing, using a 25-sec moving mean. Parameters measured were time to maximum resistance and time to maximum bandwidth (both in minutes), maximum resistance (maximum height of the mixing curve), bandwidth at maximum resistance, breakdown in resistance, breakdown in bandwidth, and maximum bandwidth (reported in a 100-unit scale, where 0 and 100 correspond to the minimum and maximum deflection on a standard 35-g mixograph). Resistance and bandwidth breakdowns were defined as the decreases in resistance and bandwidth, respectively, measured 3 min after maximum resistance. The limited quantity of seed available from the F2 single-plant selections, combined with the predetermined quantity needed to plant the F3 generation, did not permit remilling of additional samples for repeats of mixographs that were discarded because of operator error. This resulted in a lower number of paired samples (F2 to F3) for the SD cross. Statistical analyses were performed by standard procedures using the MSUSTAT package of statistical analysis programs. RESULTS AND DISCUSSION In each generation, a wide range of values was found for most of the dough properties measured by the 2-g mixograph. The means and ranges for these parameters and the flour protein content in the F2 and F3 generations are shown in Table I. The skewnesses of the data were usually less than one with the exception of the data for the mix time of the F2 generation of the VH cross, where the skewness was 1.16. These results indicate that these crosses were a suitable sample to evaluate the effectiveness of the 2-g mixograph for early generation testing of doughmixing properties. The duplicate mixographs of the F2 generation flours indicate that in most cases the measurements of dough properties have acceptably low errors of determination (Table I). A wide range of values and low errors of determination are both prerequisites for the application of the 2-g mixograph to early generation selection. An analysis of variance of the duplicate mixographs of each field replicate for all lines of all crosses in the F3 generation indicated significant differences at the 0.001 level of probability between lines for the estimates of time to maximum resistance (mixing time), maximum resistance, resistance breakdown (tolerance to overmixing), and time to maximum bandwidth. Of these, time to maximum resistance and resistance breakdown are the most meaningful measures of dough quality (Hoseney and Finney 1974, Fowler and de la Roche 1975a). Significant block effects (field replication) were apparent for a number of variables, but these, like the few interactions between line and block, were not considered important because of the consistent differences between lines for mixograph properties in each cross. Offspring-parent heritability estimates (Frey and Horner 1957) for flour protein content and the mixograph parameters (Table II) indicated that medium-to-high values were obtained for a number of measures. For the population pooled over crosses, significant heritabilities were obtained for all parameters. However, some estimates, although stati Collapse"
