title,journal,authors,year
The Impact of Economic Resources on Premarital Childbearing and Subsequent Marriage among Young American Women.," Demography 40,1 ","Aassve, Arnstein. ",2003
The Long-Term Impact of Family Routines and Parental Knowledge on Alcohol Use and Health Behaviors: Results from a 14 Year Follow-Up.," Journal of Child and Family Studies 26,9 ","Abar, Caitlin C., Gabrielle Clark and Kaitlyn Koban. ",2017
Education Policy and Intergenerational Transfers in Equilibrium.," Journal of Political Economy 127,6 ","Abbott, Brant, Giovanni Gallipoli, Costas Meghir and Giovanni L. Violante. ",2019
Racial Wage Differentials Among Young Adults: Evidence from the 1990s.," Journal of Family and Economic Issues 15,3 ","Abdel-Ghany, Mohamed and Deanna L. Sharpe. ",1994
"Age Matters: Stopping Out, Going Back, and Criminal Desistance Based on Timing of Educational Return."," Crime and Delinquency 66,3 ","Abeling-Judge, David. ",2020
Different Social Influences and Desistance From Crime.," Criminal Justice and Behavior 43,9 ","Abeling-Judge, David. ",2016
Does Military Service Continue to Facilitate Desistance? Revisiting Theory and Practice.," Deviant Behavior 41,5 ","Abeling-Judge, David. ",2020
Social Opportunities and Controls: Revisiting the Desistance Effect of Employment., Deviant Behavior published online ,"Abeling-Judge, David. ",2020
Stopping Out and Going Back: The Impact of Educational Attainment on Criminal Desistance Among Stopped-Out Offenders.," Crime and Delinquency 65,4 ","Abeling-Judge, David. ",2019
Do the Differences Make a Difference? An Empirical Evaluation of the Culture of Poverty in the U.S.," American Ethnologist 6,3 ","Abell, Troy and Larry Lyon. ",1979
Determinants of Pregnancy Wantedness: Profiling the Population from an Interventionist Perspective.," Review of Policy Research 13,1/2 ","Abma, Joyce C. and Frank L. Mott. ",1994
Substance Use and Prenatal Care During Pregnancy Among Young Women.," Family Planning Perspectives 23,3 ","Abma, Joyce C. and Frank L. Mott. ",1991
Job Mobility Among Millennials: Do They Stay or Do They Go?, Review of Public Personnel Administration published online ,"AbouAssi, Khaldoun, Jasmine McGinnis Johnson and Stephen B. Holt. ",2019
Intertemporal Labor Supply and Long-Term Employment Contracts.," American Economic Review 77,1 ","Abowd, John M. and David E. Card. ",1987
On the Covariance Structure of Earnings and Hours Changes.," Econometrica 57,2 ","Abowd, John M. and David E. Card. ",1989
Excessive Gestational Weight Gain and Subsequent Maternal Obesity at Age 40: A Hypothetical Intervention.," American Journal of Public Health 107,9 ","Abrams, Barbara, Jeremy R. Coyle, Alison K. Cohen, Irene Headen, Alan Hubbard, Lorrene Ritchie and David Rehkopf. ",2017
Parity and Body Mass Index in U.S. Women: A Prospective 25-year Study.," Obesity, V.21, No. 8 ","Abrams, Barbara, Brianna Heggeseth, David Rehkopf and Esa M. Davis. ",2013
Can We Promote Child Well-Being by Promoting Marriage? .," Journal of Marriage and Family 69,5 ","Acs, Gregory P. ",2007
The Impact of Welfare on Young Mothers' Subsequent Childbearing Decisions.," Journal of Human Resources 31,4 ","Acs, Gregory P. ",1996
"The Social Genome Model: Estimating How Policies Affect Outcomes, Mobility and Inequality across the Life Course."," Journal of Social Issues 72,4 ","Acs, Gregory P., Steven Martin, Jonathan A. Schwabish and Isabel V. Sawhill. ",2016
Substance Use and Adolescent Sexual Activity.," Applied Economics 44,9 ","Acworth, Alex, Nicolas De Roos and Hajime Katayama. ",2012
The Stock of Human Capital and Differences in Post-School Formal Occupational Training for Middle-Aged Men.," Southern Economic Journal 44,4 ","Adams, Arvil Van. ",1978
