title,keywords,authors,journal,year
Some Large-Sample Tests for Nonnormality in the Linear Regression Model,Keywords: Statistical & Econometric Methods,"White, Halbert and Macdonald, Glenn M.", Journal of the American Statistical Association, 1980
Human Capital and the Financial Capital Market,"Keywords: Education Attainment & Achievement, Statistical & Econometric Methods, Wealth, Assets & Pensions","Liberman, Joseph.", Journal of Business, 1980
Women and Work—The Incomplete Revolution,"Keywords: Gender Differences, International Studies, Labor Market & Outcomes","Rein, Martin.", The Australian Economic Review, 1980
Household Income or Household Income Per Capita In Welfare Comparisons,"Keywords: Income, International Studies","Datta, Gautam and Meerman, Jacob.", The Review of Income and Wealth, 1980
Economic Change as a Cause of Behavioral Disorder,"Keywords: Health, Disability & Mortality, Income","Dooley, David and Catalano, Ralph.", Psychological Bulletin, 1980
"Parental Care of Children: Time Diary Estimates of Quantity, Predictability, and Variety",Keywords: Time Use & Home Production,"Hill, C. Russell and Stafford, Frank P.", The Journal of Human Resources, 1980
The Determinants of Unionization: An Analysis of Interarea Differences,Keywords: Labor Market & Outcomes,"Hirsch, Barry T.", ILR Review, 1980
One Job Or Two Jobs: The Implications for Young Wives,"Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Ferber, Marianne A. and Birnbaum, Bonnie.", Journal of Consumer Research, 1980
Adjustments for Household Size in Property Tax Circuit-Breaker Programs,"Keywords: Government Transfers, Housing, Taxes","Fisher, Peter S.", National Tax Journal, 1980
Children's Health Care and the Changing Role of Women,"Keywords: Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes, Time Use & Home Production","Carpenter, Eugenia S.", Medical Care, 1980
Social and Psychological Research Concerning Adolescent Childbearing: 1970-1980,"Keywords: Family Formation & Composition, Wellbeing","Chilman, Catherine S.", Journal of Marriage and Family, 1980
"Jobs, Cash Transfers and Marital Instability: A Review and Synthesis of the Evidence","Keywords: Family Formation & Composition, Labor Market & Outcomes","Bishop, John H.", The Journal of Human Resources, 1980
Minority Groups and Home Purchase: Estimates of Internal and External Discrimination,"Keywords: Expenditures, Savings & Consumption, Housing, Racial-Ethnic Differences","Silberman, Jonathan and Yochum, Gilbert.", Journal of Behavioral Economics, 1980
Wage Determination in the Union and Nonunion Sectors: a Sample Selectivity Approach,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Duncan, Gregory M. and Leigh, Duane E.", ILR Review, 1980
Labor Supply and Aggregate Fluctuations,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Hall, Robert E.", Carnegie-Rochester Conference Series on Public Policy, 1980
The Influence of First Generation Fertility and Economic Status on Second Generation Fertility,"Keywords: Aging, Family Formation & Composition, Intergenerational Influences & Transfers","Thornton, Arland.", Population and Environment, 1980
"Institutional Decimation, Marital Exchange and Disruption in Black Families","Keywords: Family Formation & Composition, Labor Market & Outcomes, Racial-Ethnic Differences","Hampton, Robert.", Western Journal of Black Studies, 1980
