For:  The choice of an input-output table embedded in regional econometric input-output models 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Forecasting structural change with a regional econometric input-output model","Israilevich, PR; Hewings, GJD; Sonis, M; Schindler, GR","","","","JOURNAL OF REGIONAL SCIENCE","NOV 1997","1997","37","4","","","","565","590","","10.1111/0022-4146.00070","","","44","1.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","0","1","2","0","4","2","2","1","2","1","3","1","2","2","5","6","3","1","0"
"The hollowing-out process in the Chicago economy, 1975-2011","Hewings, GJD; Sonis, M; Guo, JM; Israilevich, PR; Schindler, GR","","","","GEOGRAPHICAL ANALYSIS","JUL 1998","1998","30","3","","","","217","233","","","","","40","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","2","0","2","3","2","5","3","2","1","3","1","2","1","1","2","2","2","0"
"Integrated regional econometric plus input-output modeling: Issues and opportunities","Rey, SJ","","","","PAPERS IN REGIONAL SCIENCE","JUL 2000","2000","79","3","","","","271","292","","10.1007/PL00013613","","","29","1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","1","0","1","5","0","1","1","1","1","1","5","3","3","1","0"
"The performance of alternative integration strategies for combining regional econometric and input-output models","Rey, SJ","","","","INTERNATIONAL REGIONAL SCIENCE REVIEW","1998","1998","21","1","","","","1","35","","10.1177/016001769802100101","42nd North American Meeting of the Regional-Science-Association-International","NOV 09-12, 1995","27","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","2","1","1","0","0","1","1","1","1","1","0","1","1","1","5","2","1","1","0"
"INTEGRATING A HOUSEHOLD DEMAND SYSTEM IN THE INPUT-OUTPUT FRAMEWORK. METHODOLOGICAL ASPECTS AND MODELLING IMPLICATIONS","Mongelli, Ignazio; Neuwahl, Frederik; Rueda-Cantuche, Jose M.","","","","ECONOMIC SYSTEMS RESEARCH","2010","2010","22","3","","","","201","222","PII 928135851","10.1080/09535314.2010.501428","","","14","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","2","2","0","3","2","0"
"INPUT-OUTPUT ANALYSIS: THE NEXT 25 YEARS","Dietzenbacher, Erik; Lenzen, Manfred; Los, Bart; Guan, Dabo; Lahr, Michael L.; Sancho, Ferran; Suh, Sangwon; Yang, Cuihong","","","","ECONOMIC SYSTEMS RESEARCH","DEC 1 2013","2013","25","4","","","","369","389","","10.1080/09535314.2013.846902","","","8","0.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","0","0","0","1"
"Integrating the fragmented regional and subregional socioeconomic forecasting and analysis: a spatial regional econometric input-output framework","Kim, Jae Hong; Hewings, Geoffrey J. D.","","","","ANNALS OF REGIONAL SCIENCE","OCT 2012","2012","49","2","","","SI","485","513","","10.1007/s00168-011-0468-y","","","8","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","2","1","1","0","0"
"Labor-productivity changes in regional econometric plus input-output models","Rey, SJ; Jackson, RW","","","","ENVIRONMENT AND PLANNING A","SEP 1999","1999","31","9","","","","1583","1599","","10.1068/a311583","44th North American Meeting of Regional-Science-Association-International","NOV   07, 1997","7","0.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0"
"Regional analysis using Census Bureau microdata at the center for economic studies","Davis, James C.; Holly, Brian P.","","","","INTERNATIONAL REGIONAL SCIENCE REVIEW","JUL 2006","2006","29","3","","","","278","296","","10.1177/0160017606289898","44th Annual Meeting of the Western-Regional-Science-Association","FEB 23-26, 2005","5","0.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","1","0","0"
"A Dynamic Integration Approach in Regional Input-Output and Econometric Models","Motii, Bahman Brian","","","","REVIEW OF REGIONAL STUDIES","2005","2005","35","2","","","","139","160","","","","","4","0.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
