For:  Sex segregation in US manufacturing 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The determinants and consequences of workplace sex and race composition","Reskin, BF; McBrier, DB; Kmec, JA","","","","ANNUAL REVIEW OF SOCIOLOGY","1999","1999","25","","","","","335","361","","10.1146/annurev.soc.25.1.335","","","305","13.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","8","12","11","15","13","16","19","18","27","14","14","23","20","12","15","16","21","17","6","0"
"Why not ascription? Organizations' employment of male and female managers","Reskin, BF; McBrier, DB","","","","AMERICAN SOCIOLOGICAL REVIEW","APR 2000","2000","65","2","","","","210","233","","10.2307/2657438","Annual Meeting of the American-Sociological-Association","AUG 16-20, 1996","286","13.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","6","8","10","12","14","20","18","18","17","18","22","18","16","12","18","18","18","12","2"
"New evidence on sex segregation and sex differences in wages from matched employee-employer data","Bayard, K; Hellerstein, J; Neumark, D; Troske, K","","","","JOURNAL OF LABOR ECONOMICS","OCT 2003","2003","21","4","","","","887","922","","10.1086/377026","","","163","8.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","6","16","8","13","7","10","8","15","12","9","7","12","12","13","0"
"Organizational Approaches to Inequality: Inertia, Relative Power, and Environments","Stainback, Kevin; Tomaskovic-Devey, Donald; Skaggs, Sheryl","","","Cook, KS; Massey, DS","ANNUAL REVIEW OF SOCIOLOGY, VOL 36","2010","2010","36","","","","","225","247","","10.1146/annurev-soc-070308-120014","","","136","11.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","8","10","16","8","18","16","21","16","2"
"Documenting Desegregation: Racial and Gender Segregation in Private-Sector Employment Since the Civil Rights Act","Stainback, K; TomaskovicDevey, D","","","","DOCUMENTING DESEGREGATION: RACIAL AND GENDER SEGREGATION IN PRIVATE-SECTOR EMPLOYMENT SINCE THE CIVIL RIGHTS ACT","2012","2012","","","","","","1","378","","","","","127","12.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","25","16","10","17","15","22","14","0"
"Does My Boss's Gender Matter? Explaining Job Satisfaction and Employee Turnover in the Public Sector","Grissom, Jason A.; Nicholson-Crotty, Jill; Keiser, Lael","","","","JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","OCT 2012","2012","22","4","","","","649","673","","10.1093/jopart/mus004","","","82","8.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","9","6","16","16","22","1"
"Broken down by race and gender? Sociological explanations of new sources of earnings inequality","Leicht, Kevin T.","","","","ANNUAL REVIEW OF SOCIOLOGY","2008","2008","34","","","","","237","255","","10.1146/annurev.soc.34.040507.134627","","","81","5.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","6","8","3","13","8","7","5","11","6","5","2"
"Mechanisms of inequality - Unequal access to organizational power and the gender wage gap","Hultin, M; Szulkin, R","","","","EUROPEAN SOCIOLOGICAL REVIEW","APR 2003","2003","19","2","","","","143","159","","10.1093/esr/19.2.143","","","78","4.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","2","7","8","8","5","3","8","2","5","7","11","6","0"
"Workplace segregation in the United States: Race, ethnicity, and skill","Hellerstein, Judith K.; Neumark, David","","","","REVIEW OF ECONOMICS AND STATISTICS","AUG 2008","2008","90","3","","","","459","477","","10.1162/rest.90.3.459","","","67","4.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","6","10","6","8","2","9","6","8","6","1"
"Intersections of Power and Privilege: Long-Term Trends in Managerial Representation","Stainback, Kevin; Tomaskovic-Devey, Donald","","","","AMERICAN SOCIOLOGICAL REVIEW","OCT 2009","2009","74","5","","","","800","820","","10.1177/000312240907400506","","","66","5.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","8","6","6","9","3","6","5","6","5","1"
