For:  Rural manufacturing on the crest of the wave: A count data analysis of technology use 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The rural growth trifecta: outdoor amenities, creative class and entrepreneurial context","McGranahan, David A.; Wojan, Timothy R.; Lambert, Dayton M.","","","","JOURNAL OF ECONOMIC GEOGRAPHY","MAY 2011","2011","11","3","","","","529","557","","10.1093/jeg/lbq007","","","132","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","11","17","14","14","18","11","16","15","0"
"Rural entrepreneurs and institutional assistance: an empirical study from mountainous Italy","Meccheri, Nicola; Pelloni, Gianluigi","","","","ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","SEP 2006","2006","18","5","","","","371","392","","10.1080/08985620600842113","2nd Annual Conference of the European-Economics-and-Finance-Society","MAY 14-16, 2003","78","4.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","4","4","5","10","8","5","13","7","5","8","4","0"
"Organisational motives and spatial effects in Internet adoption and intensity of use: evidence from French industrial firms","Galliano, Danielle; Roux, Pascale","","","","ANNALS OF REGIONAL SCIENCE","JUN 2008","2008","42","2","","","","425","448","","10.1007/s00168-007-0157-z","","","26","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","3","2","2","3","3","1","1","1","3","0"
"Competitiveness and technical efficiency: Determinants in the groundnut oil sector of India","Reddy, A. Amarender; Bantilan, Ma Cynthia S.","","","","FOOD POLICY","JUN 2012","2012","37","3","","","","255","263","","10.1016/j.foodpol.2012.02.004","","","15","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","5","0","2","3","0"
"The day after grant-aid: Business development schemes for small rural firms in lagging areas of Greece","Skuras, D; Dimara, E; Vakrou, A","","","","SMALL BUSINESS ECONOMICS","MAR 2000","2000","14","2","","","","125","136","","10.1023/A:1008163517068","","","14","0.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","1","0","2","0","0","1","0","1","1","2","1","0"
"Employment Risk, Returns, and Entrepreneurship","Low, Sarah A.; Weiler, Stephan","","","","ECONOMIC DEVELOPMENT QUARTERLY","AUG 2012","2012","26","3","","","","238","251","","10.1177/0891242412452445","","","13","1.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","2","3","2","0","0"
"The Determinants of Electronic Traceability Adoption: A Firm-Level Analysis of French Agribusiness","Galliano, Danielle; Orozco, Luis","","","","AGRIBUSINESS","SUM 2011","2011","27","3","","","","379","397","","10.1002/agr.20272","","","13","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","3","1","0","3","0"
"Adoption intensity of soil and water conservation practices by smallholders: evidence from Northern Ghana","Nkegbe, Paul Kwame; Shankar, Bhavani","","","","BIO-BASED AND APPLIED ECONOMICS","2014","2014","3","2","","","","159","174","","10.13128/BAE-13246","","","9","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","0"
"ICT intensity of use and the geography of firms","Galliano, Danielle; Roux, Pascale; Soulie, Nicolas","","","","ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE","JAN 2011","2011","43","1","","","","67","86","","10.1068/a43167","","","9","0.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","0","0","0"
"The impact of advanced technology adoption on wage structures: Evidence from Taiwan manufacturing firms","Liu, JT; Tsou, MW; Hammitt, JK","","","","ECONOMICA","AUG 2001","2001","68","271","","","","359","378","","10.1111/1468-0335.00251","","","9","0.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1","0","0","2","0","0","1","0","0","0","0","0"
