For:  The costs of water pollution regulation in the pulp and paper industry 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Social license and environmental protection: Why businesses go beyond compliance","Gunningham, N; Kagan, RA; Thornton, D","","","","LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION","SPR 2004","2004","29","2","","","","307","341","","10.1111/j.1747-4469.2004.tb00338.x","","","433","24.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","5","10","12","21","24","14","15","51","37","43","42","44","58","39","5"
"Assessing voluntary programs to improve environmental quality","Alberini, A; Segerson, K","","","","ENVIRONMENTAL & RESOURCE ECONOMICS","JUN 2002","2002","22","1-2","","","","157","184","","10.1023/A:1015519116167","","","130","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","11","6","8","10","11","16","11","9","7","4","5","10","5","7","1"
"Economic valuation of environmental benefits from wastewater treatment processes: An empirical approach for Spain","Hernandez-Sancho, Francesc; Molinos-Senante, Maria; Sala-Garrido, Ramon","","","","SCIENCE OF THE TOTAL ENVIRONMENT","JAN 15 2010","2010","408","4","","","","953","957","","10.1016/j.scitotenv.2009.10.028","","","97","8.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7","8","5","7","16","3","11","16","15","1"
"Nanocomposite membranes for water separation and purification: Fabrication, modification, and applications","Esfahani, Milad Rabbani; Aktij, Sadegh Aghapour; Dabaghian, Zoheir; Firouzjaei, Mostafa Dadashi; Rahimpour, Ahmad; Eke, Joyner; Escobar, Isabel C.; Abolhassani, Mojtaba; Greenlee, Lauren F.; Esfahani, Amirsalar R.; Sadmani, Anwar; Koutahzadeh, Negin","","","","SEPARATION AND PURIFICATION TECHNOLOGY","APR 15 2019","2019","213","","","","","465","499","","10.1016/j.seppur.2018.12.050","","","78","26.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","59","9"
"The effectiveness of voluntary environmental programs - A policy at a crossroads?","Koehler, Dinah A.","","","","POLICY STUDIES JOURNAL","NOV 2007","2007","35","4","","","","689","722","","10.1111/j.1541-0072.2007.00244.x","","","77","5.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","8","10","11","6","9","2","4","6","7","5","0"
"Enforcement and over-compliance","Shimshack, Jay P.; Ward, Michael B.","","","","JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","JAN 2008","2008","55","1","","","","90","105","","10.1016/j.jeem.2007.05.003","","","69","4.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","4","1","3","7","5","8","13","9","9","1"
"Motivations and Barriers to Corporate Environmental Management","Ervin, David; Wu, JunJie; Khanna, Madhu; Jones, Cody; Wirkkala, Teresa","","","","BUSINESS STRATEGY AND THE ENVIRONMENT","SEP 2013","2013","22","6","","","","390","409","","10.1002/bse.1752","","","63","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","11","6","13","9","13","0"
"Panel data analysis of regulatory factors shaping environmental performance","Earnhart, D","","","","REVIEW OF ECONOMICS AND STATISTICS","FEB 2004","2004","86","1","","","","391","401","","10.1162/003465304323023895","","","60","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","6","4","5","2","6","2","1","6","5","6","8","5","1"
"The effects of community characteristics on polluter compliance levels","Earnhart, D","","","","LAND ECONOMICS","AUG 2004","2004","80","3","","","","408","432","","10.2307/3654729","","","54","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","2","8","5","2","3","5","3","3","7","3","1"
"Environmental compliance: The good, the bad, and the super green","Wu, JunJie","","","","JOURNAL OF ENVIRONMENTAL MANAGEMENT","AUG 2009","2009","90","11","","","","3363","3381","","10.1016/j.jenvman.2009.05.017","","","41","3.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","5","5","4","3","5","5","3","0"
