For:  The structure of firm R&D, the factor intensity of production, and skill bias 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The skill bias effect of technological and organisational change: Evidence and policy implications","Piva, M; Santarelli, E; Vivarelli, M","","","","RESEARCH POLICY","MAR 2005","2005","34","2","","","","141","157","","10.1016/j.respol.2004.11.005","Annual Meeting of the Administrative-Sciences-Association-of-Canada","JUN 05-08, 2004","119","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","3","6","8","10","9","9","11","10","8","10","11","9","7","0"
"MICROECONOMETRIC MODELS OF INVESTMENT AND EMPLOYMENT","Bond, Stephen; Van Reenen, John","","","Heckman, JJ; Leamer, EE","HANDBOOK OF ECONOMETRICS, VOL 6A","2007","2007","2","","","","","4417","4498","","10.1016/S1573-4412(07)06065-5","","","92","6.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","3","7","14","5","6","5","9","11","6","13","2","1"
"External technology acquisition and product innovativeness: The moderating roles of R&D investment and configurational context","Tsai, Kuen-Hung; Hsieh, Ming-Hung; Hultink, Erik Jan","","","","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT","JUL-SEP 2011","2011","28","3","","","","184","200","","10.1016/j.jengtecman.2011.03.005","","","61","5.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","9","5","6","6","7","5","8","2"
"Technical change and the structure of employment and wages: A survey of the micro econometric evidence","Chennells, L; Van Reenen, J","","","Greenan, N; LHorty, Y; Mairesse, J","PRODUCTIVITY, INEQUALITY AND THE DIGITAL ECONOMY: A TRANSATLANTIC PERSPECTIVE","2002","2002","","","","","","175","+","","","International Conference on Information and Communications Technologies, Employment, and Earnings","JUN, 1998","46","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","4","3","5","4","0","3","3","3","2","1","2","4","1","3","2","0"
"The influence of federal laboratory R&D on industrial research","Adams, JD; Chiang, EP; Jensen, JL","","","","REVIEW OF ECONOMICS AND STATISTICS","NOV 2003","2003","85","4","","","","1003","1020","","10.1162/003465303772815899","","","44","2.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","5","6","3","2","6","2","1","4","6","1","2","2","2","0"
"The impact of outward FDI on the home country's labour demand and skill composition","Elia, Stefano; Mariotti, Ilaria; Piscitello, Lucia","","","","INTERNATIONAL BUSINESS REVIEW","AUG 2009","2009","18","4","","","","357","372","","10.1016/j.ibusrev.2009.04.001","","","23","1.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","2","1","3","4","2","1","5","0"
"Technology, knowledge spillovers and changes in employment structure: evidence from six OECD countries","Hollanders, H; ter Weel, B","","","","LABOUR ECONOMICS","NOV 2002","2002","9","5","","","","579","599","PII S0927-5371(02)00056-8","10.1016/S0927-5371(02)00056-8","","","23","1.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","3","1","3","2","1","0","1","3","2","0","1","1","1","0"
"LEARNING, INTERNAL RESEARCH, AND SPILLOVERS","Adams, James D.","","","","ECONOMICS OF INNOVATION AND NEW TECHNOLOGY","2006","2006","15","1","","","","5","36","","10.1080/1043859042000332178","","","19","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","0","0","0","1","1","1","1","3","5","0","0","0"
"Intangible resources and technology adoption in manufacturing firms","Gomez, Jaime; Vargas, Pilar","","","","RESEARCH POLICY","NOV 2012","2012","41","9","","","","1607","1619","","10.1016/j.respol.2012.04.016","","","18","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","1","4","2","1"
"To what extent are labor-saving technologies improving efficiency in the use of human resources? Evidence from the banking industry","Fung, Michael K.","","","","PRODUCTION AND OPERATIONS MANAGEMENT","JAN-FEB 2008","2008","17","1","","","","75","92","","10.3401/poms.1070.0003","","","17","1.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","0","3","3","1","3","1","0"
