For:  Scale economies and consolidation in hog slaughter 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Potential revenue impact of an outbreak of foot-and-mouth disease in the United States","Paarlberg, PL; Lee, JG; Seitzinger, AH","","","","JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION","APR 1 2002","2002","220","7","","","","988","992","","10.2460/javma.2002.220.988","","","51","2.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","2","2","4","2","4","2","4","4","1","3","4","4","4","3","0"
"Technological change and economies of scale in US poultry processing","Ollinger, M; MacDonald, JM; Madison, M","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","FEB 2005","2005","87","1","","","","116","129","","10.1111/j.0002-9092.2005.00706.x","","","36","2.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","2","4","3","1","4","1","2","2","5","3","2","0"
"Warm weather transport of broiler chickens in Manitoba. II. Truck management factors associated with death loss in transit to slaughter","Whiting, Terry L.; Drain, Mairead E.; Rasali, Drona P.","","","","CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE","FEB 2007","2007","48","2","","","","148","154","","","","","26","1.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","2","1","6","2","2","7","0"
"Competition in US Farm Product Markets: DoLong-Run Incentives Trump Short-Run Market Power?","Crespi, John M.; Saitone, Tina L.; Sexton, Richard J.","","","","APPLIED ECONOMIC PERSPECTIVES AND POLICY","WIN 2012","2012","34","4","","","","669","695","","10.1093/aepp/pps045","","","24","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","3","6","4","4","0"
"Disentangling nonlinearities in the long- and short-run price relationships: an application to the US hog/pork supply chain","Gervais, Jean-Philippe","","","","APPLIED ECONOMICS","2011","2011","43","12","","","","1497","1510","PII 915675962","10.1080/00036840802600558","","","18","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","3","4","2","0","5","0","0"
"THE COMPETITIVENESS OF AGRICULTURAL PRODUCT AND INPUT MARKETS: A REVIEW AND SYNTHESIS OF RECENT RESEARCH","Sheldon, Ian M.","","","","JOURNAL OF AGRICULTURAL AND APPLIED ECONOMICS","FEB 2017","2017","49","1","","","","1","44","","10.1017/aae.2016.29","","","15","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","6","0"
"Supply reductions, export restrictions, and expectations for hog returns in a potential classical swine fever outbreak in the United States","Paarlberg, Philip L.; Seitzinger, Ann Hillber; Lee, John G.; Mathews, Kenneth H., Jr.","","","","JOURNAL OF SWINE HEALTH AND PRODUCTION","MAY-JUN 2009","2009","17","3","","","","155","162","","","","","12","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","4","0","2","0"
"Do Alternative Marketing Arrangements Increase Pork Packers' Market Power ?","Zheng, Xiaoyong; Vukina, Tomislav","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","FEB 2009","2009","91","1","","","","250","263","","10.1111/j.1467-8276.2008.01185.x","","","12","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","2","0","3","1","1","1","0"
"Technology, labor wars, and producer dynamics: Explaining consolidation in beefpacking","MacDonald, JM; Ollinger, ME","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","NOV 2005","2005","87","4","","","","1020","1033","","10.1111/j.1467-8276.2005.00785.x","","","11","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","1","1","0","0","1","0","1","0","1","0"
"Case studies of direct marketing value-added pork products in a commodity market","Buhr, BL","","","","REVIEW OF AGRICULTURAL ECONOMICS","SUM 2004","2004","26","2","","","","266","279","","10.1111/j.1467-9353.2004.00175.x","","","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","4","1","0","0","0","1","0","1","1","0","0"
