For:  Self-care: Why do parents leave their children unsupervised? 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Time for Children, One's Spouse and Oneself among Parents Who Work Nonstandard Hours","Wight, Vanessa R.; Raley, Sara B.; Bianchi, Suzanne M.","","","","SOCIAL FORCES","SEP 2008","2008","87","1","","","","243","271","","10.1353/sof.0.0092","","","88","6.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","8","6","5","6","5","13","11","11","8","10","0"
"The influence of race/ethnicity on disadvantaged mothers' child care arrangements","Radey, Melissa; Brewster, Karin L.","","","","EARLY CHILDHOOD RESEARCH QUARTERLY","2007","2007","22","3","","","","379","393","","10.1016/j.ecresq.2007.05.004","","","45","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","1","4","4","8","3","1","6","1","3","6","0"
"Children's Caring Roles and Responsibilities within the Family in Africa","Evans, Ruth","","","","GEOGRAPHY COMPASS","OCT 2010","2010","4","10","","","","1477","1496","","10.1111/j.1749-8198.2010.00386.x","","","36","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","0","6","3","2","8","2","4","1"
"The role of men in chronic supervisory neglect","Coohey, C; Zhang, Y","","","","CHILD MALTREATMENT","FEB 2006","2006","11","1","","","","27","33","","10.1177/1077559505283548","","","25","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","0","3","2","2","2","1","2","1","1","0","4","0"
"Mitigating pandemic influenza: The ethics of implementing a school closure policy","Berkman, Benjamin E.","","","","JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","JUL-AUG 2008","2008","14","4","","","","372","378","","","","","24","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","4","3","3","0","1","0","3","0","0","5","1"
"Prevalence of psychosomatic and emotional symptoms in European school-aged children and its relationship with childhood adversities: results from the IDEFICS study","Vanaelst, Barbara; De Vriendt, Tineke; Ahrens, Wolfgang; Bammann, Karin; Hadjigeorgiou, Charalambos; Konstabel, Kenn; Lissner, Lauren; Michels, Nathalie; Molnar, Denes; Moreno, Luis A.; Reisch, Lucia; Siani, Alfonso; Sioen, Isabelle; De Henauw, Stefaan","","","","EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","MAY 2012","2012","21","5","","","","253","265","","10.1007/s00787-012-0258-9","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","6","1","1","2","5","1","3","0"
"Children home alone unsupervised: Modeling parental decisions and associated factors in Botswana, Mexico, and Vietnam","Ruiz-Casares, Monica; Heymann, Jody","","","","CHILD ABUSE & NEGLECT","MAY 2009","2009","33","5","","","","312","323","","10.1016/j.chiabu.2008.09.010","","","21","1.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","0","1","3","1","2","3","0","3","1"
"Childcare and parental work schedules: a comparison of childcare arrangements among Finnish, British and Dutch dual-earner families","Verhoef, Melissa; Tammelin, Mia; May, Vanessa; Ronka, Anna; Roeters, Anne","","","","COMMUNITY WORK & FAMILY","2016","2016","19","3","","","","261","280","","10.1080/13668803.2015.1024609","","","16","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","0","1"
"Child Care Choices in Spain","Borra, Cristina; Palma, Luis","","","","JOURNAL OF FAMILY AND ECONOMIC ISSUES","DEC 2009","2009","30","4","","","","323","338","","10.1007/s10834-009-9167-6","","","14","1.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","2","2","1","0","0","0","2","0","0"
"Child care subsidies and the stability and quality of child care arrangements","Krafft, Caroline; Davis, Elizabeth E.; Tout, Kathryn","","","","EARLY CHILDHOOD RESEARCH QUARTERLY","2017","2017","39","","","","","14","34","","10.1016/j.ecresq.2016.12.002","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","3","2","0"
