For:  Integrated longitudinal employer-employee data for the United States 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The flow approach to labor markets: New data sources and micro-macro links","Davis, Steven J.; Faberman, R. Jason; Haltiwanger, John","","","","JOURNAL OF ECONOMIC PERSPECTIVES","SUM 2006","2006","20","3","","","","3","26","","10.1257/jep.20.3.3","","","140","8.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","11","4","12","12","13","17","11","18","13","9","9","3","0"
"Encouraging best practice in quantitative management research: An incomplete list of opportunities","Echambadi, Raj; Campbell, Benjamin; Agarwal, Rajshree","","","","JOURNAL OF MANAGEMENT STUDIES","DEC 2006","2006","43","8","","","","1801","1820","","10.1111/j.1467-6486.2006.00660.x","","","92","5.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","2","6","5","8","18","7","4","5","8","6","8","7","0"
"From health research to social research: Privacy, methods, approaches","Roos, Leslie L.; Brownell, Marni; Lix, Lisa; Roos, Noralou P.; Walld, Randy; MacWilliam, Leonard","","","","SOCIAL SCIENCE & MEDICINE","JAN 2008","2008","66","1","","","","117","129","","10.1016/j.socscimed.2007.08.017","","","63","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","1","6","8","5","4","8","10","4","6","5","0"
"Cities, matching and the productivity gains of agglomeration","Andersson, Fredrik; Burgess, Simon; Lane, Julia I.","","","","JOURNAL OF URBAN ECONOMICS","JAN 2007","2007","61","1","","","","112","128","","10.1016/j.jue.2006.06.005","","","55","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","8","3","5","5","3","4","3","2","6","7","1"
"The LEHD Infrastructure Files and the Creation of the Quarterly Workforce Indicators","Abowd, John M.; Stephens, Bryce E.; Vilhuber, Lars; Andersson, Fredrik; McKinney, Kevin L.; Roemer, Marc; Woodcock, Simon","","","Dunne, T; Jensen, JB; Roberts, MJ","PRODUCER DYNAMICS: NEW EVIDENCE FROM MICRO DATA","2009","2009","68","","","","","149","234","","","Conference on Research in Income and Wealth - Producer Dynamics: New Evidence from Micro Data","APR 08-AUG 09, 2005","50","3.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","0","3","6","6","6","8","8","5","0"
"Status and incentives","Auriol, Emmanuelle; Renault, Regis","","","","RAND JOURNAL OF ECONOMICS","SPR 2008","2008","39","1","","","","305","326","","10.1111/j.0741-6261.2008.00015.x","","","33","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","4","4","5","2","4","1","1","4","3","0"
"Reallocation and Technology: Evidence from the US Steel Industry","Collard-Wexler, Allan; De Loecker, Jan","","","","AMERICAN ECONOMIC REVIEW","JAN 2015","2015","105","1","","","","131","171","","10.1257/aer.20130090","","","32","4.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","10","7","7","0"
"Urban phenology: Toward a real-time census of the city using Wi-Fi data","Kontokosta, Constantine E.; Johnson, Nicholas","","","","COMPUTERS ENVIRONMENT AND URBAN SYSTEMS","JUL 2017","2017","64","","","","","144","153","","10.1016/j.compenvurbsys.2017.01.011","","","28","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","9","10","1"
"Now IT's Personal: Offshoring and the Shifting Skill Composition of the US Information Technology Workforce","Tambe, Prasanna; Hitt, Lorin M.","","","","MANAGEMENT SCIENCE","APR 2012","2012","58","4","","","","678","695","","10.1287/mnsc.1110.1445","","","26","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","3","4","5","2","2","2","0"
"Robustness of road systems to extreme flooding: using elements of GIS, travel demand, and network science","Kermanshah, Amirhassan; Derrible, Sybil","","","","NATURAL HAZARDS","MAR 2017","2017","86","1","","","","151","164","","10.1007/s11069-016-2678-1","","","24","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","9","6","1"
