For:  The impact of violence surges on neighbourhood business activity 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Longitudinal Associations Between Neighborhood Physical and Social Environments and Incident Type 2 Diabetes Mellitus The Multi-Ethnic Study of Atherosclerosis (MESA)","Christine, Paul J.; Auchincloss, Amy H.; Bertoni, Alain G.; Carnethon, Mercedes R.; Sanchez, Brisa N.; Moore, Kari; Adar, Sara D.; Horwich, Tamara B.; Watson, Karol E.; Roux, Ana V. Diez","","","","JAMA INTERNAL MEDICINE","AUG 2015","2015","175","8","","","","1311","1320","","10.1001/jamainternmed.2015.2691","","","126","18.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","20","30","26","22","2"
"Crime and residential choice: A neighborhood level analysis of the impact of crime on housing prices","Tita, George E.; Petras, Tricia L.; Greenbaum, Robert T.","","","","JOURNAL OF QUANTITATIVE CRIMINOLOGY","DEC 2006","2006","22","4","","","","299","317","","10.1007/s10940-006-9013-z","","","70","4.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","10","5","5","2","6","5","7","4","5","8","8","1"
"The impact of gang formation on local patterns of crime","Tita, George; Ridgeway, Greg","","","","JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","MAY 2007","2007","44","2","","","","208","237","","10.1177/0022427806298356","","","64","4.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","6","5","7","3","6","6","3","2","4","8","4","0"
"Violent crime, entrepreneurship, and cities","Rosenthal, Stuart S.; Ross, Amanda","","","","JOURNAL OF URBAN ECONOMICS","JAN 2010","2010","67","1","","","","135","149","","10.1016/j.jue.2009.09.001","","","53","4.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","6","3","12","11","6","5","6","0"
"Exploring the Ecological Association Between Crime and Medical Marijuana Dispensaries","Kepple, Nancy J.; Freisthler, Bridget","","","","JOURNAL OF STUDIES ON ALCOHOL AND DRUGS","JUL 2012","2012","73","4","","","","523","530","","10.15288/jsad.2012.73.523","","","42","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","2","5","6","5","8","8","0"
"Economists' contribution to the study of crime and the criminal justice system","Bushway, Shawn; Reuter, Peter","","","Tonry, M","CRIME AND JUSTICE: A REVIEW OF RESEARCH, VOL 37","2008","2008","37","","","","","389","451","","10.1086/524283","","","36","2.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","6","2","4","0","3","5","6","1","2","0"
"The impact of terrorism on Italian employment and business activity","Greenbaum, Robert T.; Dugan, Laura; LaFree, Gary","","","","URBAN STUDIES","2007","2007","44","5-6","","","","1093","1108","","10.1080/00420980701255999","56th Annnual Meeting of the American-Society-of-Criminology","NOV 17-19, 2004","36","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","4","4","1","2","0","3","3","9","5","0"
"Labor markets and crime: new evidence on an old puzzle","Mustard, David B.","","","Benson, BL; Zimmerman, PR","HANDBOOK ON THE ECONOMICS OF CRIME","2010","2010","","","","","","342","358","","","","","23","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","3","7","3","1","1"
"Estimates of Cost of Crime History, Methodologies, and Implications Introduction","Czabanski, Jacek","","","","ESTIMATES OF COST OF CRIME","2008","2008","","","","","","1","+","","","","","23","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","2","4","1","2","1","2","1","1","1","0"
"Systematic effects of crime on hotel operating performance","Hua, Nan; Yang, Yang","","","","TOURISM MANAGEMENT","JUN 2017","2017","60","","","","","257","269","","10.1016/j.tourman.2016.11.022","","","21","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","7","0"
