For:  The costs of shared ownership: Evidence from international joint ventures 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Why do firms hold so much cash? A tax-based explanation","Foley, C. Fritz; Hartzell, Jay C.; Titman, Sheridan; Twite, Garry","","","","JOURNAL OF FINANCIAL ECONOMICS","DEC 2007","2007","86","3","","","","579","607","","10.1016/j.jfineco.2006.11.006","","","270","18.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","9","13","13","11","14","24","22","41","33","28","46","2"
"To share or not to share: Does local participation matter for spillovers from foreign direct investment?","Javorcik, Beata Smarzynska; Spatareanu, Mariana","","","","JOURNAL OF DEVELOPMENT ECONOMICS","FEB 2008","2008","85","1-2","","","","194","217","","10.1016/j.jdeveco.2006.08.005","","","160","11.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","13","13","10","16","9","18","9","10","9","21","14","1"
"Hierarchical Capitalism in Latin America: Business, Labor, and the Challenges of Equitable Development","Schneider, B. R.","","","","HIERARCHICAL CAPITALISM IN LATIN AMERICA: BUSINESS, LABOR, AND THE CHALLENGES OF EQUITABLE DEVELOPMENT","2013","2013","","","","","","1","237","","10.1017/CBO9781107300446","","","136","15.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","16","12","21","22","34","26","2"
"Corporate equity ownership and the governance of product market relationships","Fee, C. Edward; Hadlock, Charles J.; Thomas, Shawn","","","","JOURNAL OF FINANCE","JUN 2006","2006","61","3","","","","1217","1251","","10.1111/j.1540-6261.2006.00871.x","","","109","6.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","6","2","6","5","10","11","10","12","12","12","17","0"
"MULTINATIONAL FIRMS, FDI FLOWS, AND IMPERFECT CAPITAL MARKETS","Antras, Pol; Desai, Mihir A.; Foley, C. Fritz","","","","QUARTERLY JOURNAL OF ECONOMICS","AUG 2009","2009","124","3","","","","1171","1219","","10.1162/qjec.2009.124.3.1171","","","95","7.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","5","13","10","15","14","8","10","6","1"
"Foreign direct investment and the domestic capital stock","Desai, MA; Foley, CF; Hines, JR","","","","AMERICAN ECONOMIC REVIEW","MAY 2005","2005","95","2","","","","33","38","","10.1257/000282805774670185","117th Annual Meeting of the American-Economic-Association","JAN   07, 2005","88","5.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","3","5","8","2","8","7","7","3","5","10","13","9","2"
"Information Environment and the Investment Decisions of Multinational Corporations","Shroff, Nemit; Verdi, Rodrigo S.; Yu, Gwen","","","","ACCOUNTING REVIEW","MAR 2014","2014","89","2","","","","759","790","","10.2308/accr-50643","","","82","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","14","11","7","15","24","1"
"Domestic Effects of the Foreign Activities of US Multinationals","Desai, Mihir A.; Foley, C. Fritz; Hines, James R., Jr.","","","","AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY","FEB 2009","2009","1","1","","","","181","203","","10.1257/pol.1.1.181","","","81","6.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","7","8","7","11","2","9","7","10","6","1"
"Multinational Firms and the Structure of International Trade","Antras, Pol; Yeaple, Stephen R.","","","Gopinath, G; Helpman, E; Rogoff, K","HANDBOOK OF INTERNATIONAL ECONOMICS, VOL 4","2014","2014","","","","","","55","130","","10.1016/B978-0-444-54314-1.00002-1","","","79","9.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","10","16","18","18","1"
"Profit shifting in the EU: evidence from Germany","Weichenrieder, Alfons J.","","","","INTERNATIONAL TAX AND PUBLIC FINANCE","JUN 2009","2009","16","3","","","","281","297","","10.1007/s10797-008-9068-x","","","62","4.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","7","5","6","6","3","9","4","5","9","0"
