For:  Technological change and economies of scale in US poultry processing 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Impacts of Poultry House Environment on Poultry Litter Bacterial Community Composition","Dumas, Michael D.; Polson, Shawn W.; Ritter, Don; Ravel, Jacques; Gelb, Jack, Jr.; Morgan, Robin; Wommack, K. Eric","","","","PLOS ONE","SEP 16 2011","2011","6","9","","","","","","e24785","10.1371/journal.pone.0024785","","","47","4.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","7","4","4","3","9","11","0"
"Warm weather transport of broiler chickens in Manitoba. II. Truck management factors associated with death loss in transit to slaughter","Whiting, Terry L.; Drain, Mairead E.; Rasali, Drona P.","","","","CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE","FEB 2007","2007","48","2","","","","148","154","","","","","26","1.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","2","1","6","2","2","7","0"
"Current aspects of Salmonella contamination in the US poultry production chain and the potential application of risk strategies in understanding emerging hazards","Rajan, Kalavathy; Shi, Zhaohao; Ricke, Steven C.","","","","CRITICAL REVIEWS IN MICROBIOLOGY","MAY 2017","2017","43","3","","","","370","392","","10.1080/1040841X.2016.1223600","","","25","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","7","11","1"
"Impact of Prebiotics on Poultry Production and Food Safety","Ricke, Steven C.","","","","YALE JOURNAL OF BIOLOGY AND MEDICINE","JUN 2018","2018","91","2","","","","151","159","","","","","22","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","10","0"
"Foregoing Sub-therapeutic Antibiotics: the Impact on Broiler Grow-out Operations","MacDonald, James M.; Wang, Sun-Ling","","","","APPLIED ECONOMIC PERSPECTIVES AND POLICY","SPR 2011","2011","33","1","","","","79","98","","10.1093/aepp/ppq030","","","16","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","2","3","5","1","0","0"
"Measuring the impact of meat packing and processing facilities in nonmetropolitan counties: A difference-in-differences approach","Artz, Georgeanne M.; Orazem, Peter F.; Otto, Daniel M.","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AUG 2007","2007","89","3","","","","557","570","","10.1111/j.1467-8276.2007.01003.x","","","15","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","2","0","2","1","0","2","0","0","0"
"Mobile poultry processing units: a safe and cost-effective poultry processing option for the small-scale farmer in the United States","O'Bryan, C. A.; Crandall, P. G.; Davis, M. L.; Kostadini, G.; Gibson, K. E.; Alali, W. Q.; Jaroni, D.; Ricke, S. C.; Marcy, J. A.","","","","WORLDS POULTRY SCIENCE JOURNAL","DEC 2014","2014","70","4","","","","787","802","","10.1017/S0043933914000853","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","4","1","0"
"Supply reductions, export restrictions, and expectations for hog returns in a potential classical swine fever outbreak in the United States","Paarlberg, Philip L.; Seitzinger, Ann Hillber; Lee, John G.; Mathews, Kenneth H., Jr.","","","","JOURNAL OF SWINE HEALTH AND PRODUCTION","MAY-JUN 2009","2009","17","3","","","","155","162","","","","","12","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","4","0","2","0"
"Technology, labor wars, and producer dynamics: Explaining consolidation in beefpacking","MacDonald, JM; Ollinger, ME","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","NOV 2005","2005","87","4","","","","1020","1033","","10.1111/j.1467-8276.2005.00785.x","","","11","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","1","1","0","0","1","0","1","0","1","0"
"Poultry, food security and poverty in India: looking beyond the farm-gate","Pica-Ciamarra, U.; Otte, J.","","","","WORLDS POULTRY SCIENCE JOURNAL","JUN 2010","2010","66","2","","","","309","319","","10.1017/S0043933910000358","","","10","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2","0"
