For:  The effect of SCHIP expansions on health insurance decisions by employers 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crowd-out 10 years later: Have recent public insurance expansions crowded out private health insurance?","Gruber, Jonathan; Simon, Kosali","","","","JOURNAL OF HEALTH ECONOMICS","MAR 2008","2008","27","2","","","","201","217","","10.1016/j.jhealeco.2007.11.004","","","142","10.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","9","9","10","14","11","19","11","20","14","12","9","0"
"The impact of SCHIP on insurance coverage of children","Hudson, JL; Selden, TM; Banthin, JS","","","","INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING","FAL 2005","2005","42","3","","","","232","254","","10.5034/inquiryjrnl_42.3.232","","","39","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","3","3","4","3","4","4","3","2","1","1","2","0","1","0"
"THE EFFECT OF MEDICAID EXPANSIONS IN THE LATE 1980S AND EARLY 1990S ON THE LABOR SUPPLY OF PREGNANT WOMEN","Dave, Dhaval; Decker, Sandra L.; Kaestner, Robert; Simon, Kosali I.","","","","AMERICAN JOURNAL OF HEALTH ECONOMICS","SPR 2015","2015","1","2","","","","165","193","","10.1162/ajhe_a_00011","","","31","4.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","8","10","4","0"
"The Impact of CHIP on Children's Insurance Coverage: An Analysis Using the National Survey of America's Families","Dubay, Lisa; Kenney, Genevieve","","","","HEALTH SERVICES RESEARCH","DEC 2009","2009","44","6","","","","2040","2059","","10.1111/j.1475-6773.2009.01040.x","","","26","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","3","5","4","1","3","0","1","0"
"Pathways to coverage: The changing roles of public and private sources","Vistnes, Jessica P.; Schone, Barbara S.","","","","HEALTH AFFAIRS","JAN-FEB 2008","2008","27","1","","","","44","57","","10.1377/hlthaff.27.1.44","","","22","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2","4","0","2","2","1","4","0","0","1","0","0"
"Transitions from Private to Public Health Coverage among Children: Estimating Effects on Out-of-Pocket Medical Costs and Health Insurance Premium Costs","Shaefer, H. Luke; Grogan, Colleen M.; Pollack, Harold A.","","","","HEALTH SERVICES RESEARCH","JUN 2011","2011","46","3","","","","840","858","","10.1111/j.1475-6773.2010.01238.x","","","16","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","0","3","2","2","1","1","0"
"Many Families May Face Sharply Higher Costs If Public Health Insurance For Their Children Is Rolled Back","Selden, Thomas M.; Dubay, Lisa; Miller, G. Edward; Vistnes, Jessica; Buettgens, Matthew; Kenney, Genevieve M.","","","","HEALTH AFFAIRS","APR 2015","2015","34","4","","","","697","706","","10.1377/hlthaff.2015.0003","","","12","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","3","1","1","0"
"Low-Income Working Families With Employer-Sponsored Insurance Turn To Public Insurance For Their Children","Strane, Douglas; French, Benjamin; Eder, Jennifer; Wong, Charlene A.; Noonan, Kathleen G.; Rubin, David M.","","","","HEALTH AFFAIRS","DEC 2016","2016","35","12","","","","2302","2309","","10.1377/hlthaff.2016.0381","","","7","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","1"
"SCHIP Directors' Perception of Schools Assisting Students in Obtaining Public Health Insurance","Price, James H.; Rickard, Megan","","","","JOURNAL OF SCHOOL HEALTH","JUL 2009","2009","79","7","","","","326","332","","10.1111/j.1746-1561.2009.00417.x","","","7","0.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","1","0","0","0","0","1","0","0","0"
"Plan choice, health insurance cost and premium sharing","Kosteas, Vasilios D.; Renna, Francesco","","","","JOURNAL OF HEALTH ECONOMICS","MAY 2014","2014","35","","","","","179","188","","10.1016/j.jhealeco.2014.03.002","","","3","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0"
