For:  Population trends in metropolitan and nonmetropolitan America: Selective deconcentration and the rural rebound 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Amenity migration: diverse conceptualizations of drivers, socioeconomic dimensions, and emerging challenges","Gosnell, Hannah; Abrams, Jesse","","","","GEOJOURNAL","AUG 2011","2011","76","4","","","SI","303","322","","10.1007/s10708-009-9295-4","","","279","25.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","17","30","29","32","27","33","34","39","30","1"
"Spatial characteristics of exurban settlement pattern in the United States","Clark, Jill K.; McChesney, Ronald; Munroe, Darla K.; Irwin, Elena G.","","","","LANDSCAPE AND URBAN PLANNING","APR 30 2009","2009","90","3-4","","","","178","188","","10.1016/j.landurbplan.2008.11.002","52nd North American Meeting of the Regional-Science-Association-International","NOV 09-11, 2005","73","5.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","11","6","6","5","9","6","7","8","0"
"Recent immigrant settlement in the nonmetropolitan United States: Evidence from internal Census data","Donato, Katharine M.; Tolbert, Charles M., II; Nucci, Alfred; Kawano, Yukio","","","","RURAL SOCIOLOGY","DEC 2007","2007","72","4","","","","537","559","","10.1526/003601107782638666","66th Annual Meeting of the Rural-Sociological-Society","JUL 26-30, 2003-2006","56","3.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","3","10","9","2","2","7","1","6","3","2","5","0"
"People, Places and Landscapes: Social Change in High Amenity Rural Areas","Krannich, Richard S.; Luloff, A. E.; Field, Donald R.","","","","PEOPLE, PLACES AND LANDSCAPES: SOCIAL CHANGE IN HIGH AMENITY RURAL AREAS","2011","2011","14","","","","","1","164","","10.1007/978-94-007-1263-8_1","","","45","4.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","5","5","6","4","5","8","0"
"Migration and Longer-Distance Commuting in Rural England","Champion, Tony; Coombes, Mike; Brown, David L.","","","","REGIONAL STUDIES","2009","2009","43","10","","","","1245","1259","PII 903402436","10.1080/00343400802070902","","","39","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","5","4","2","4","3","5","3","3","7","0"
"Between the country and the concrete: Rediscovering the rural-urban fringe","Sharp, Jeff S.; Clark, Jill K.","","","","CITY & COMMUNITY","MAR 2008","2008","7","1","","","","61","79","","10.1111/j.1540-6040.2007.00241.x","","","29","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","4","1","3","1","0","3","2","3","3","2","0"
"An Empirical Examination of Characteristics of Mexican Migrants to Metropolitan and Nonmetropolitan Areas of the United States","Farmer, Frank L.; Moon, Zola K.","","","","RURAL SOCIOLOGY","JUN 2009","2009","74","2","","","","220","240","","10.1111/j.1549-0831.2009.tb00390.x","","","23","1.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","3","2","2","3","0","2","2","0"
"Is There Hidden Potential for Rural Population Growth in Sweden?","Niedomysl, Thomas; Amcoff, Jan","","","","RURAL SOCIOLOGY","JUN 2011","2011","76","2","","","","257","279","","10.1111/j.1549-0831.2010.00032.x","","","21","1.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","2","5","4","2","0"
"Preventive Care Utilization Among the Uninsured by Race/Ethnicity and Income","Holden, Craig D.; Chen, Jie; Dagher, Rada K.","","","","AMERICAN JOURNAL OF PREVENTIVE MEDICINE","JAN 2015","2015","48","1","","","","13","21","","10.1016/j.amepre.2014.08.029","","","20","2.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","3","5","5","0"
"Seasonal residence and counterurbanization: the role of second homes in population redistribution in Finland","Adamiak, Czeslaw; Pitkanen, Kati; Lehtonen, Olli","","","","GEOJOURNAL","OCT 2017","2017","82","5","","","","1035","1050","","10.1007/s10708-016-9727-x","","","19","3.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","8","6","0"
