For:  Do local tax incentives affect economic growth? What mean impacts miss in the analysis of enterprise zone policies 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Assessing the Incidence and Efficiency of a Prominent Place Based Policy","Busso, Matias; Gregory, Jesse; Kline, Patrick","","","","AMERICAN ECONOMIC REVIEW","APR 2013","2013","103","2","","","","897","947","","10.1257/aer.103.2.897","","","145","16.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","15","18","15","18","38","26","2"
"Do enterprise zones create jobs? Evidence from California's enterprise zone program","Neumark, David; Kolko, Jed","","","","JOURNAL OF URBAN ECONOMICS","JUL 2010","2010","68","1","","","","1","19","","10.1016/j.jue.2010.01.002","","","129","10.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","12","12","9","15","18","15","16","20","1"
"Government programs can improve local labor markets: Evidence from State Enterprise Zones, Federal Empowerment Zones and Federal Enterprise Community","Ham, John C.; Swenson, Charles; Imrohoroglu, Ayse; Song, Heonjae","","","","JOURNAL OF PUBLIC ECONOMICS","AUG 2011","2011","95","7-8","","","","779","797","","10.1016/j.jpubeco.2010.11.027","","","77","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","5","13","7","8","7","13","13","1"
"How are growth and productivity in private firms affected by public subsidy? Evidence from a regional policy","Bernini, Cristina; Pellegrini, Guido","","","","REGIONAL SCIENCE AND URBAN ECONOMICS","MAY 2011","2011","41","3","","","","253","265","","10.1016/j.regsciurbeco.2011.01.005","","","76","6.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","4","5","11","12","6","11","19","1"
"Public support to clusters A firm level study of French "Local Productive Systems"","Martin, Philippe; Mayer, Thierry; Mayneris, Florian","","","","REGIONAL SCIENCE AND URBAN ECONOMICS","MAR 2011","2011","41","2","","","","108","123","","10.1016/j.regsciurbeco.2010.09.001","","","67","6.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","7","9","6","4","9","11","9","0"
"Local employment, poverty, and property value effects of geographically-targeted tax incentives: An instrumental variables approach","Hanson, Andrew","","","","REGIONAL SCIENCE AND URBAN ECONOMICS","NOV 2009","2009","39","6","","","","721","731","","10.1016/j.regsciurbeco.2009.07.002","","","58","4.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","7","2","8","7","5","5","7","8","0"
"Empirical evidence on the effects of tax incentives","Klemm, Alexander; Van Parys, Stefan","","","","INTERNATIONAL TAX AND PUBLIC FINANCE","JUN 2012","2012","19","3","","","","393","423","","10.1007/s10797-011-9194-8","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","8","3","6","10","3","10","11","1"
"The Impact of Enterprise Zones on Resident Employment An Evaluation of the Enterprise Zone Programs of California and Florida","Elvery, Joel A.","","","","ECONOMIC DEVELOPMENT QUARTERLY","FEB 2009","2009","23","1","","","","44","59","","10.1177/0891242408326994","","","53","4.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","5","6","6","6","2","6","3","5","4","1"
"Do spatially targeted redevelopment programs spillover?","Hanson, Andrew; Rohlin, Shawn","","","","REGIONAL SCIENCE AND URBAN ECONOMICS","JAN 2013","2013","43","1","","","","86","100","","10.1016/j.regsciurbeco.2012.05.002","","","47","5.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","7","5","3","12","8","1"
"DO LOCATION-BASED TAX INCENTIVES ATTRACT NEW BUSINESS ESTABLISHMENTS?","Hanson, Andrew; Rohlin, Shawn","","","","JOURNAL OF REGIONAL SCIENCE","AUG 2011","2011","51","3","","","","427","449","","10.1111/j.1467-9787.2010.00704.x","","","42","3.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","5","5","1","5","9","8","0"
