For:  USING THE P90/P10 INDEX TO MEASURE US INEQUALITY TRENDS WITH CURRENT POPULATION SURVEY DATA: A VIEW FROM INSIDE THE CENSUS BUREAU VAULTS 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The Rising Instability of US Earnings","Gottschalk, Peter; Moffitt, Robert","","","","JOURNAL OF ECONOMIC PERSPECTIVES","FAL 2009","2009","23","4","","","","3","24","","10.1257/jep.23.4.3","","","108","8.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","7","5","13","12","14","12","11","11","12","1"
"RECENT TRENDS IN TOP INCOME SHARES IN THE UNITED STATES: RECONCILING ESTIMATES FROM MARCH CPS AND IRS TAX RETURN DATA","Burkhauser, Richard V.; Feng, Shuaizhang; Jenkins, Stephen P.; Larrimore, Jeff","","","","REVIEW OF ECONOMICS AND STATISTICS","MAY 2012","2012","94","2","","","","371","388","","10.1162/REST_a_00200","","","80","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","8","11","9","12","9","11","10","2"
"Estimating trends in US income inequality using the Current Population Survey: the importance of controlling for censoring","Burkhauser, Richard V.; Feng, Shuaizhang; Jenkins, Stephen P.; Larrimore, Jeff","","","","JOURNAL OF ECONOMIC INEQUALITY","SEP 2011","2011","9","3","","","SI","393","415","","10.1007/s10888-010-9131-6","","","37","3.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","7","6","3","3","5","5","1"
"FACTOR COMPONENTS OF INEQUALITY: A CROSS-COUNTRY STUDY","Garcia-Penalosa, Cecilia; Orgiazzi, Elsa","","","","REVIEW OF INCOME AND WEALTH","DEC 2013","2013","59","4","","","","689","727","","10.1111/roiw.12054","","","23","2.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","4","3","5","0"
"Measuring inequality using censored data: a multiple-imputation approach to estimation and inference","Jenkins, Stephen P.; Burkhauser, Richard V.; Feng, Shuaizhang; Larrimore, Jeff","","","","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","2011","2011","174","","1","","","63","81","","10.1111/j.1467-985X.2010.00655.x","","","20","1.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","1","1","4","1","6","0"
"The impact of household capital income on income inequality-a factor decomposition analysis for the UK, Germany and the USA","Fraessdorf, Anna; Grabka, Markus M.; Schwarze, Johannes","","","","JOURNAL OF ECONOMIC INEQUALITY","MAR 2011","2011","9","1","","","","35","56","","10.1007/s10888-009-9125-4","","","13","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","0","2","4","0","0","0"
"ACCOUNTING FOR UNITED STATES HOUSEHOLD INCOME INEQUALITY TRENDS: THE CHANGING IMPORTANCE OF HOUSEHOLD STRUCTURE AND MALE AND FEMALE LABOR EARNINGS INEQUALITY","Larrimore, Jeff","","","","REVIEW OF INCOME AND WEALTH","DEC 2014","2014","60","4","","","","683","701","","10.1111/roiw.12043","","","11","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","3","2","0"
"MEASURING THE IMPACT OF VALUING HEALTH INSURANCE ON LEVELS AND TRENDS IN INEQUALITY AND HOW THE AFFORDABLE CARE ACT OF 2010 COULD AFFECT THEM","Burkhauser, Richard V.; Larrimore, Jeff; Simon, Kosali","","","","CONTEMPORARY ECONOMIC POLICY","OCT 2013","2013","31","4","","","","779","794","","10.1111/j.1465-7287.2012.00336.x","","","6","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0"
"Police Income and Occupational Gender Inequality","Luo, Xiaoshuang Iris; Schleifer, Cyrus; Hill, Christopher M.","","","","POLICE QUARTERLY","DEC 2019","2019","22","4","","","","481","510","1098611119862654","10.1177/1098611119862654","","","5","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"Wage mobility in East and West Germany","Riphahn, Regina T.; Schnitzlein, Daniel D.","","","","LABOUR ECONOMICS","APR 2016","2016","39","","","","","11","34","","10.1016/j.labeco.2016.01.003","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0"
