For:  DOES PROCEDURE PROFITABILITY IMPACT WHETHER AN OUTPATIENT SURGERY IS PERFORMED AT AN AMBULATORY SURGERY CENTER OR HOSPITAL? 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Procedures Take Less Time At Ambulatory Surgery Centers, Keeping Costs Down And Ability To Meet Demand Up","Munnich, Elizabeth L.; Parente, Stephen T.","","","","HEALTH AFFAIRS","MAY 2014","2014","33","5","","","","764","769","","10.1377/hlthaff.2013.1281","","","58","7.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","7","12","12","12","1"
"Trends in the Surgical Treatment of Cubital Tunnel Syndrome: An Analysis of the National Survey of Ambulatory Surgery Database","Soltani, Ali M.; Best, Matthew J.; Francis, Cameron S.; Allan, Bassan J.; Panthaki, Zubin J.","","","","JOURNAL OF HAND SURGERY-AMERICAN VOLUME","AUG 2013","2013","38A","8","","","","1551","1556","","10.1016/j.jhsa.2013.04.044","","","35","3.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","6","8","4","6","2","1"
"Effects of physician-owned specialized facilities in health care: A systematic review","Trybou, Jeroen; De Regge, Melissa; Gemmel, Paul; Duyck, Philippe; Annemans, Lieven","","","","HEALTH POLICY","DEC 2014","2014","118","3","","","","316","340","","10.1016/j.healthpol.2014.09.012","","","21","2.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","5","3","5","3","0"
"A comparison of ambulatory perioperative times in hospitals and freestanding centers","Hair, Brionna; Hussey, Peter; Wynn, Barbara","","","","AMERICAN JOURNAL OF SURGERY","JUL 2012","2012","204","1","","","","23","27","","10.1016/j.amjsurg.2011.07.023","","","21","2.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","2","2","4","4","4","1"
"Ambulatory Surgery Centers and Their Intended Effects on Outpatient Surgery","Hollenbeck, Brent K.; Dunn, Rodney L.; Suskind, Anne M.; Strope, Seth A.; Zhang, Yun; Hollingsworth, John M.","","","","HEALTH SERVICES RESEARCH","OCT 2015","2015","50","5","","","","1491","1507","","10.1111/1475-6773.12278","","","15","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","4","3","1"
"Beyond Antitrust: Health Care And Health Insurance Market Trends And The Future Of Competition","Glied, Sherry A.; Altman, Stuart H.","","","","HEALTH AFFAIRS","SEP 2017","2017","36","9","","","","1572","1577","","10.1377/hlthaff.2017.0555","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","4","0"
"Price Increases Were Much Lower In Ambulatory Surgery Centers Than Hospital Outpatient Departments In 2007-12","Carey, Kathleen","","","","HEALTH AFFAIRS","OCT 2015","2015","34","10","","","","1738","1744","","10.1377/hlthaff.2015.0252","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","4","0"
"Patient Mix in Outpatient Surgery Settings and Implications for Medicare Payment Policy","Meyerhoefer, Chad D.; Colby, Margaret S.; McFetridge, Jeffrey T.","","","","MEDICAL CARE RESEARCH AND REVIEW","FEB 2012","2012","69","1","","","","62","82","","10.1177/1077558711409946","","","9","0.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","2","2","0"
"Returns to specialization: Evidence from the outpatient surgery market","Munnich, Elizabeth L.; Parente, Stephen T.","","","","JOURNAL OF HEALTH ECONOMICS","JAN 2018","2018","57","","","","","147","167","","10.1016/j.jhealeco.2017.11.004","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1"
"Ambulatory Surgery Centers and Prices in Hospital Outpatient Departments","Carey, Kathleen","","","","MEDICAL CARE RESEARCH AND REVIEW","APR 2017","2017","74","2","","","","236","248","","10.1177/1077558716633010","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0"
