For:  Medicare Part D and the Financial Protection of the Elderly 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The Oregon Health Insurance Experiment: Evidence from the First Year","Finkelstein, Amy; Taubman, Sarah; Wright, Bill; Bernstein, Mira; Gruber, Jonathan; Newhouse, Joseph P.; Allen, Heidi; Baicker, Katherine","Oregon Hlth Study Grp","","","QUARTERLY JOURNAL OF ECONOMICS","AUG 2012","2012","127","3","","","","1057","1106","","10.1093/qje/qjs020","","","538","53.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","15","59","59","66","72","88","78","91","6"
"The Economic Consequences of Hospital Admissions","Dobkin, Carlos; Finkelstein, Amy; Kluender, Raymond; Notowidigdo, Matthew J.","","","","AMERICAN ECONOMIC REVIEW","FEB 2018","2018","108","2","","","","308","352","","10.1257/aer.20161038","","","47","11.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","11","27","1"
"The Effect of Patient Cost Sharing on Utilization, Health, and Risk Protection","Shigeoka, Hitoshi","","","","AMERICAN ECONOMIC REVIEW","JUL 2014","2014","104","7","","","","2152","2184","","10.1257/aer.104.7.2152","","","43","5.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","9","4","8","6","1"
"Universal coverage with supply-side reform: The impact on medical expenditure risk and utilization in Thailand","Limwattananon, Supon; Neelsen, Sven; O'Donnell, Owen; Prakongsai, Phusit; Tangcharoensathien, Viroj; van Doorslaer, Eddy; Vongmongkol, Vuthiphan","","","","JOURNAL OF PUBLIC ECONOMICS","JAN 2015","2015","121","","","","","79","94","","10.1016/j.jpubeco.2014.11.012","","","39","5.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7","9","6","10","0"
"The Effects of the Massachusetts Health Reform on Household Financial Distress","Mazumder, Bhashkar; Miller, Sarah","","","","AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY","AUG 2016","2016","8","3","","","","284","313","","10.1257/pol.20150045","","","36","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","13","11","1"
"The Effects of Medicare on Medical Expenditure Risk and Financial Strain","Barcellos, Silvia Helena; Jacobson, Mireille","","","","AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY","NOV 2015","2015","7","4","","","","41","70","","10.1257/pol.20140262","","","25","3.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","8","6","8","0"
"Has Medicare Part D Reduced Racial/Ethnic Disparities in Prescription Drug Use and Spending?","Mahmoudi, Elham; Jensen, Gail A.","","","","HEALTH SERVICES RESEARCH","APR 2014","2014","49","2","","","","502","525","","10.1111/1475-6773.12099","","","20","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","3","1","1","0"
"The insurance value of medical innovation","Lakdawalla, Darius; Malani, Anup; Reif, Julian","","","","JOURNAL OF PUBLIC ECONOMICS","JAN 2017","2017","145","","","","","94","102","","10.1016/j.jpubeco.2016.11.012","","","19","3.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","4","0"
"Does prescription drug coverage improve mental health? Evidence from Medicare Part D","Ayyagari, Padmaja; Shane, Dan M.","","","","JOURNAL OF HEALTH ECONOMICS","MAY 2015","2015","41","","","","","46","58","","10.1016/j.jhealeco.2015.01.006","","","18","2.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","3","3","5","0"
"Did Medicare Part D reduce mortality?","Huh, Jason; Reif, Julian","","","","JOURNAL OF HEALTH ECONOMICS","MAY 2017","2017","53","","","","","17","37","","10.1016/j.jhealeco.2017.01.005","","","17","3.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","9","0"
