For:  School quality and the education-health relationship: Evidence from Blacks in segregated schools 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Educational Attainment in the Context of Social Inequality: New Directions for Research on Education and Health","Walsemann, Katrina M.; Gee, Gilbert C.; Ro, Annie","","","","AMERICAN BEHAVIORAL SCIENTIST","AUG 2013","2013","57","8","","","SI","1082","1104","","10.1177/0002764213487346","","","33","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","8","4","5","7","0"
"MEDIATING ROLE OF EDUCATION AND LIFESTYLES IN THE RELATIONSHIP BETWEEN EARLY-LIFE CONDITIONS AND HEALTH: EVIDENCE FROM THE 1958 BRITISH COHORT","Tubeuf, Sandy; Jusot, Florence; Bricard, Damien","","","","HEALTH ECONOMICS","JUN 2012","2012","21","","","1","","129","150","","10.1002/hec.2815","2nd Australasian Workshop on Econometrics and Health Economics","APR 27-29, 2011","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","3","5","2","2","1","0"
"Revisiting residential self-selection issues: A life-oriented approach","Zhang, Junyi","","","","JOURNAL OF TRANSPORT AND LAND USE","2014","2014","7","3","","","","29","45","","10.5198/jtlu.v7i3.460","","","21","2.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","2","5","3","0"
"Does an elite education benefit health? Findings from the 1970 British Cohort Study","Bann, David; Hamer, Mark; Parsons, Sam; Ploubidis, George B.; Sullivan, Alice","","","","INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","FEB 2017","2017","46","1","","","","293","302","","10.1093/ije/dyw045","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","4","0"
"The long run health returns to college quality","Fletcher, Jason M.; Frisvold, David E.","","","","REVIEW OF ECONOMICS OF THE HOUSEHOLD","JUN 2014","2014","12","2","","","","295","325","","10.1007/s11150-012-9150-0","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","2","3","3","0"
"Long-term health implications of school quality","Dudovitz, Rebecca N.; Nelson, Bergen B.; Coker, Tumaini R.; Biely, Christopher; Li, Ning; Wu, Lynne C.; Chung, Paul J.","","","","SOCIAL SCIENCE & MEDICINE","JUN 2016","2016","158","","","","","1","7","","10.1016/j.socscimed.2016.04.009","","","7","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","3","0"
"The Effect of School Quality on Black-White Health Differences: Evidence From Segregated Southern Schools","Frisvold, David; Golberstein, Ezra","","","","DEMOGRAPHY","DEC 2013","2013","50","6","","","","1989","2012","","10.1007/s13524-013-0227-z","","","7","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","2","0"
"A critical review of the literature on the relationship between school quality and health inequalities","Garcy, Anthony M.; Berliner, David C.","","","","REVIEW OF EDUCATION","FEB 2018","2018","6","1","","","","40","66","","10.1002/rev3.3106","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Relationship of Early-Life Residence and Educational Experience to Level and Change in Cognitive Functioning: Results of the Minority Aging Research Study","Lamar, Melissa; Lerner, Alan J.; James, Bryan D.; Yu, Lei; Glover, Crystal M.; Wilson, Robert S.; Barnes, Lisa L.","","","","JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","SEP 2020","2020","75","7","","","","E81","E92","","10.1093/geronb/gbz031","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Economic influences on population health in the United States: Toward policymaking driven by data and evidence","Venkataramani, Atheendar S.; O'Brien, Rourke; Whitehorn, Gregory L.; Tsai, Alexander C.","","","","PLOS MEDICINE","SEP 2020","2020","17","9","","","","","","e1003319","10.1371/journal.pmed.1003319","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
