For:  The medical care costs of obesity: An instrumental variables approach 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The Epidemiology of Obesity: A Big Picture","Hruby, Adela; Hu, Frank B.","","","","PHARMACOECONOMICS","JUL 2015","2015","33","7","","","","673","689","","10.1007/s40273-014-0243-x","","","696","99.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","15","30","77","236","304","27"
"AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS AND AMERICAN COLLEGE OF ENDOCRINOLOGY COMPREHENSIVE CLINICAL PRACTICE GUIDELINES FOR MEDICAL CARE OF PATIENTS WITH OBESITY","Garvey, W. Timothy; Mechanick, Jeffrey I.; Brett, Elise M.; Garber, Alan J.; Hurley, Daniel L.; Jastreboff, Ania M.; Nadolsky, Karl; Pessah-Pollack, Rachel; Plodkowski, Raymond","AACE ACE Obesity Clinical Practice","","","ENDOCRINE PRACTICE","JUL 2016","2016","22","","","3","","1","203","","10.4158/EP161365.GL","","","313","52.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","34","72","88","105","10"
"The Economic Costs of Type 2 Diabetes: A Global Systematic Review","Seuring, Till; Archangelidi, Olga; Suhrcke, Marc","","","","PHARMACOECONOMICS","AUG 2015","2015","33","8","","","","811","831","","10.1007/s40273-015-0268-9","","","306","43.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","34","47","66","74","76","4"
"Management of obesity","Bray, George A.; Fruhbeck, Gema; Ryan, Donna H.; Wilding, John P. H.","","","","LANCET","MAY 7 2016","2016","387","10031","","","","1947","1956","","10.1016/S0140-6736(16)00271-3","","","289","48.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","53","62","65","77","10"
"Value of Primordial and Primary Prevention for Cardiovascular Disease A Policy Statement From the American Heart Association","Weintraub, William S.; Daniels, Stephen R.; Burke, Lora E.; Franklin, Barry A.; Goff, David C., Jr.; Hayman, Laura L.; Lloyd-Jones, Donald; Pandey, Dilip K.; Sanchez, Eduardo J.; Schram, Andrea Parsons; Whitsel, Laurie P.","Amer Heart Assoc","","","CIRCULATION","AUG 23 2011","2011","124","8","","","","967","990","","10.1161/CIR.0b013e3182285a81","","","275","25.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","35","26","39","31","32","33","28","18","1"
"Obesity, inflammation, and the gut microbiota","Cox, Amanda J.; West, Nicholas P.; Cripps, Allan W.","","","","LANCET DIABETES & ENDOCRINOLOGY","MAR 2015","2015","3","3","","","","207","215","","10.1016/S2213-8587(14)70134-2","","","265","37.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","24","30","42","63","82","8"
"Assessing the potential effectiveness of food and beverage taxes and subsidies for improving public health: a systematic review of prices, demand and body weight outcomes","Powell, L. M.; Chriqui, J. F.; Khan, T.; Wada, R.; Chaloupka, F. J.","","","","OBESITY REVIEWS","FEB 2013","2013","14","2","","","","110","128","","10.1111/obr.12002","","","262","29.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","30","40","28","45","28","38","35","2"
"NIH Working Group Report: Innovative Research to Improve Maintenance of Weight Loss","MacLean, Paul S.; Wing, Rena R.; Davidson, Terry; Epstein, Leonard; Goodpaster, Bret; Hall, Kevin D.; Levin, Barry E.; Perri, Michael G.; Rolls, Barbara J.; Rosenbaum, Michael; Rothman, Alexander J.; Ryan, Donna","","","","OBESITY","JAN 2015","2015","23","1","","","","7","15","","10.1002/oby.20967","","","248","35.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","33","38","49","52","60","6"
"Economic Burden of Obesity: A Systematic Literature Review","Tremmel, Maximilian; Gerdtham, Ulf-G.; Nilsson, Peter M.; Saha, Sanjib","","","","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","APR 2017","2017","14","4","","","","","","435","10.3390/ijerph14040435","","","237","47.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","41","81","100","9"
"Obesity: a chronic relapsing progressive disease process. A position statement of the World Obesity Federation","Bray, G. A.; Kim, K. K.; Wilding, J. P. H.","World Obesity Federation","","","OBESITY REVIEWS","JUL 2017","2017","18","7","","","","715","723","","10.1111/obr.12551","","","221","44.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","34","81","92","9"
