For:  The Long-Term Effects of Military Conscription on Mortality: Estimates From the Vietnam-Era Draft Lottery 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The effect of college education on mortality","Buckles, Kasey; Hagemann, Andreas; Malamud, Ofer; Morrill, Melinda; Wozniak, Abigail","","","","JOURNAL OF HEALTH ECONOMICS","DEC 2016","2016","50","","","","","99","114","","10.1016/j.jhealeco.2016.08.002","","","26","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","7","13","1"
"The Long-Term Consequences of Vietnam-Era Conscription and Genotype on Smoking Behavior and Health","Schmitz, Lauren; Conley, Dalton","","","","BEHAVIOR GENETICS","JAN 2016","2016","46","1","","","SI","43","58","","10.1007/s10519-015-9739-1","","","12","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","1","1","0"
"Do Parents' Life Experiences Affect the Political and Civic Participation of Their Children? The Case of Draft-Induced Military Service","Johnson, Tim; Dawes, Christopher T.","","","","POLITICAL BEHAVIOR","DEC 2016","2016","38","4","","","","793","816","","10.1007/s11109-016-9334-z","","","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","0"
"The effect of Vietnam-era conscription and genetic potential for educational attainment on schooling outcomes","Schmitz, Lauren L.; Conley, Dalton","","","","ECONOMICS OF EDUCATION REVIEW","DEC 2017","2017","61","","","","","85","97","","10.1016/j.econedurev.2017.10.001","","","7","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0"
"The causal effects of Vietnam-era military service on post-war family dynamics","Heerwig, Jennifer A.; Conley, Dalton","","","","SOCIAL SCIENCE RESEARCH","MAR 2013","2013","42","2","","","","299","310","","10.1016/j.ssresearch.2012.11.003","","","7","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","1","0","0"
"Military Service, Childhood Socio-Economic Status, and Late-Life Lung Function: Korean War Era Military Service Associated with Smaller Disparities","Vable, Anusha M.; Kiang, Mathew, V; Basu, Sanjay; Rudolph, Kara E.; Kawachi, Ichiro; Subramanian, S., V; Glymour, M. Maria","","","","MILITARY MEDICINE","SEP-OCT 2018","2018","183","9-10","","","","E576","E582","","10.1093/milmed/usx196","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0"
"The effect of race and birth cohort on the veteran mortality differential","Landes, Scott D.; Wilder, Jeffri Anne; Williams, Desiree","","","","SOCIAL SCIENCE & MEDICINE","APR 2017","2017","179","","","","","36","44","","10.1016/j.socscimed.2017.02.030","","","6","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0"
"Military Service, Exposure to Trauma, and Health in Older Adulthood: An Analysis of Northern Vietnamese Survivors of the Vietnam War","Korinek, Kim; Teerawichitchainan, Bussarawan","","","","AMERICAN JOURNAL OF PUBLIC HEALTH","AUG 2014","2014","104","8","","","","1478","1487","","10.2105/AJPH.2014.301925","","","6","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","0","0"
"Pension incentives and the joint retirement of couples: evidence from two natural experiments","Atalay, Kadir; Barrett, Garry F.; Siminski, Peter","","","","JOURNAL OF POPULATION ECONOMICS","JUL 2019","2019","32","3","","","","735","767","","10.1007/s00148-018-0725-9","","","5","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2"
"Deployments, Combat Exposure, and Crime","Anderson, D. Mark; Rees, Daniel I.","","","","JOURNAL OF LAW & ECONOMICS","FEB 2015","2015","58","1","","","","235","267","","10.1086/682907","","","5","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","1","0"
