For:  Linking investment spikes and productivity growth 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Assessing dynamic inefficiency of the Spanish construction sector pre- and post-financial crisis","Kapelko, Magdalena; Lansink, Alfons Oude; Stefanou, Spiro E.","","","","EUROPEAN JOURNAL OF OPERATIONAL RESEARCH","AUG 16 2014","2014","237","1","","","","349","357","","10.1016/j.ejor.2014.01.047","","","60","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","10","14","11","14","2"
"Analyzing the impact of investment spikes on dynamic productivity growth","Kapelko, Magdalena; Lansink, Alfons Oude; Stefanou, Spiro E.","","","","OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE","JUL 2015","2015","54","","","","","116","124","","10.1016/j.omega.2015.01.010","","","24","3.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","8","7","2"
"Dynamics of investment and firm performance: comparative evidence from manufacturing industries","Grazzi, Marco; Jacoby, Nadia; Treibich, Tania","","","","EMPIRICAL ECONOMICS","AUG 2016","2016","51","1","","","","125","179","","10.1007/s00181-015-0991-2","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","4","0"
"Investment Age and Dynamic Productivity Growth in the Spanish Food Processing Industry","Kapelko, Magdalena; Lansink, Alfons Oude; Stefanou, Spiro E.","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","APR 2016","2016","98","3","","","","946","961","","10.1093/ajae/aav063","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","3","1"
"Technical efficiency and its determinants in the Spanish construction sector pre- and post-financial crisis","Kapelko, Magdalena; Oude Lansink, Alfons","","","","INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT","JAN 2 2015","2015","19","1","","","","96","109","","10.3846/1648715X.2014.973924","","","11","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","1","1","3","0"
"Measuring inefficiency for specific inputs using data envelopment analysis: evidence from construction industry in Spain and Portugal","Kapelko, Magdalena","","","","CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH","MAR 2018","2018","26","1","","","","43","66","","10.1007/s10100-017-0473-z","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","0"
"The effect of farm characteristics on the persistence of technical inefficiency: a case study in German dairy farming","Skevas, Ioannis; Emvalomatis, Grigorios; Bruemmer, Bernhard","","","","EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS","FEB 2018","2018","45","1","","","","3","25","","10.1093/erae/jbx019","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"Productivity Growth and Business Cycles: Case Study of the Spanish Construction Industry","Kapelko, Magdalena; Abbott, Malcolm","","","","JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","MAY 2017","2017","143","5","","","","","","05016026","10.1061/(ASCE)CO.1943-7862.0001238","","","6","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0"
"Farm Capital Investment and Deviations from the Optimal Path","Skevas, Theodoros; Wu, Feng; Guan, Zhengfei","","","","JOURNAL OF AGRICULTURAL ECONOMICS","JUN 2018","2018","69","2","","","","561","577","","10.1111/1477-9552.12252","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"Small Business vulnerability to floods and the effects of disaster loans","Davlasheridze, Meri; Geylani, Pinar C.","","","","SMALL BUSINESS ECONOMICS","DEC 2017","2017","49","4","","","","865","888","","10.1007/s11187-017-9859-5","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
