For:  Residential Mobility Across Local Areas in the United States and the Geographic Distribution of the Healthy Population 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Race-Ethnicity, Poverty, Urban Stressors, and Telomere Length in a Detroit Community-based Sample","Geronimus, Arline T.; Pearson, Jay A.; Linnenbringer, Erin; Schulz, Amy J.; Reyes, Angela G.; Epel, Elissa S.; Lin, Jue; Blackburn, Elizabeth H.","","","","JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","JUN 2015","2015","56","2","","","","199","224","","10.1177/0022146515582100","","","119","17.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","18","23","38","19","3"
"The Neighbourhood Effects on Health and Well-being (NEHW) study","O'Campo, Patricia; Wheaton, Blair; Nisenbaum, Rosane; Glazier, Richard H.; Dunn, James R.; Chambers, Catharine","","","","HEALTH & PLACE","JAN 2015","2015","31","","","","","65","74","","10.1016/j.healthplace.2014.11.001","","","63","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","9","10","17","13","0"
"Explaining inequalities in women's mortality between U.S. States","Montez, Jennifer Karas; Zajacova, Anna; Hayward, Mark D.","","","","SSM-POPULATION HEALTH","DEC 2016","2016","2","","","","","561","571","","10.1016/j.ssmph.2016.07.004","","","34","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","11","8","0"
"Residential self-selection, perceived built environment and type 2 diabetes incidence: A longitudinal analysis of 36,224 middle to older age adults","Dendup, Tashi; Astell-Burt, Thomas; Feng, Xiaoqi","","","","HEALTH & PLACE","JUL 2019","2019","58","","","","","","","102154","10.1016/j.healthplace.2019.102154","","","6","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1"
"Estimating small area health-related characteristics of populations: a methodological review","Rahman, Azizur","","","","GEOSPATIAL HEALTH","2017","2017","12","1","","","","3","14","495","10.4081/gh.2017.495","","","6","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","0"
"Longitudinal deprivation trajectories and risk of cardiovascular disease in New Zealand","Shackleton, Nichola; Darlington-Pollock, Frances; Norman, Paul; Jackson, Rodney; Exeter, Daniel John","","","","HEALTH & PLACE","SEP 2018","2018","53","","","","","34","42","","10.1016/j.healthplace.2018.07.010","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
"Assessment of demographic and perinatal predictors of non-response and impact of non-response on measures of association in a population-based case control study: findings from the Georgia Study to Explore Early Development","Schieve, Laura A.; Harris, Shericka; Maenner, Matthew J.; Alexander, Aimee; Dowling, Nicole F.","","","","EMERGING THEMES IN EPIDEMIOLOGY","AUG 16 2018","2018","15","","","","","","","12","10.1186/s12982-018-0081-y","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0"
"Sequential Neighborhood Effects: The Effect of Long-Term Exposure to Concentrated Disadvantage on Children's Reading and Math Test Scores","Hicks, Andrew L.; Handcock, Mark S.; Sastry, Narayan; Pebley, Anne R.","","","","DEMOGRAPHY","FEB 2018","2018","55","1","","","","1","31","","10.1007/s13524-017-0636-5","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
"Using Internal Migration to Estimate the Causal Effect of Neighborhood Socioeconomic Context on Health: A Longitudinal Analysis, England, 1995-2008","Green, Mark A.; Arcaya, Mariana; Subramanian, S. V.","","","","ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS","2017","2017","107","6","","","","1266","1278","","10.1080/24694452.2017.1310021","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0"
"Predictors of residential mobility and its impact on air pollution exposure among children diagnosed with early childhood leukemia","Lewis, P. Grace Tee; Chen, Ting-Yu; Chan, Wenyaw; Symanski, Elaine","","","","JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY","JUN 2019","2019","29","4","","","","510","519","","10.1038/s41370-019-0126-5","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
