For:  Does state preschool crowd-out private provision? The impact of universal preschool on the childcare sector in Oklahoma and Georgia 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Public child care and mothers' labor supply-Evidence from two quasi-experiments","Bauernschuster, Stefan; Schlotter, Martin","","","","JOURNAL OF PUBLIC ECONOMICS","MAR 2015","2015","123","","","","","1","16","","10.1016/j.jpubeco.2014.12.013","","","53","7.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","3","11","15","11","4"
"Does the cost of child care affect female labor market participation? An evaluation of a French reform of childcare subsidies","Givord, Pauline; Marbot, Claire","","","","LABOUR ECONOMICS","OCT 2015","2015","36","","","","SI","99","111","","10.1016/j.labeco.2015.07.003","","","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","9","2","2"
"Do children benefit from universal early childhood education and care? A meta-analysis of evidence from natural experiments","van Huizen, Thomas; Plantenga, Janneke","","","","ECONOMICS OF EDUCATION REVIEW","OCT 2018","2018","66","","","","","206","222","","10.1016/j.econedurev.2018.08.001","","","15","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","2"
"Relating early childhood teachers' working conditions and well-being to their turnover intentions","Grant, Ashley A.; Jeon, Lieny; Buettner, Cynthia K.","","","","EDUCATIONAL PSYCHOLOGY","MAR 16 2019","2019","39","3","","","","294","312","","10.1080/01443410.2018.1543856","","","12","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0"
"The causal effects. of regional industrial policies on employment: A synthetic control approach","Castillo, Victoria; Figal Garone, Lucas; Maffioli, Alessandro; Salazar, Lina","","","","REGIONAL SCIENCE AND URBAN ECONOMICS","NOV 2017","2017","67","","","","","25","41","","10.1016/j.regsciurbeco.2017.08.003","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","0"
"Estimating the Consequences of Norway's National Scale-Up of Early Childhood Education and Care (Beginning in Infancy) for Early Language Skills","Dearing, Eric; Zachrisson, Henrik Daae; Mykletun, Arnstein; Toppelberg, Claudio O.","","","","AERA OPEN","JAN-MAR 2018","2018","4","1","","","","","","","10.1177/2332858418756598","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0"
"The effects of universal state pre-kindergarten on the child care sector: The case of Florida's voluntary pre-kindergarten program","Bassok, Daphna; Miller, Luke C.; Galdo, Eva","","","","ECONOMICS OF EDUCATION REVIEW","AUG 2016","2016","53","","","","","87","98","","10.1016/j.econedurev.2016.05.004","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1","0"
"Children's Transition to School: Relationships Between Preschool Attendance, Cortisol Patterns, and Effortful Control","Hall, James; Lindorff, Ariel","","","","EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST","JUL 2017","2017","34","1","","","SI","1","18","","10.1017/edp.2017.3","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
"Varying States of Head Start: Impacts of a Federal Program Across State Policy Contexts","Connors, Maia C.; Friedman-Krauss, Allison H.","","","","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS","2017","2017","10","4","","","","675","703","","10.1080/19345747.2017.1320736","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"Labor Market Effects of US Sick Pay Mandates","Pichler, Stefan; Ziebarth, Nicolas R.","","","","JOURNAL OF HUMAN RESOURCES","SPR 2020","2020","55","2","","","","611","659","","10.3368/jhr.55.3.0117-8514R2","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0"
