For:  Multiple Imputation of Missing or Faulty Values Under Linear Constraints 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Multiple Imputation: A Review of Practical and Theoretical Findings","Murray, Jared S.","","","","STATISTICAL SCIENCE","MAY 2018","2018","33","2","","","","142","159","","10.1214/18-STS644","","","24","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","11","0"
"Multiple Imputation of Missing Categorical and Continuous Values via Bayesian Mixture Models With Local Dependence","Murray, Jared S.; Reiter, Jerome P.","","","","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","DEC 2016","2016","111","516","","","","1466","1479","","10.1080/01621459.2016.1174132","","","23","3.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","3","12","0"
"Sequential BART for imputation of missing covariates","Xu, Dandan; Daniels, Michael J.; Winterstein, Almut G.","","","","BIOSTATISTICS","JUL 2016","2016","17","3","","","","589","602","","10.1093/biostatistics/kxw009","","","19","3.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","5","2"
"Simultaneous Edit-Imputation for Continuous Microdata","Kim, Hang J.; Cox, Lawrence H.; Karr, Alan F.; Reiter, Jerome P.; Wang, Quanli","","","","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","SEP 2015","2015","110","511","","","","987","999","","10.1080/01621459.2015.1040881","","","15","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","0"
"The Prevalence and Characteristics of Emergency Medicine Patient Use of New Media","Post, Lori Ann; Vaca, Federico E.; Biroscak, Brian J.; Dziura, James; Brandt, Cynthia; Bernstein, Steven L.; Taylor, Richard; Jagminas, Liudvikas; D'Onofrio, Gail","","","","JMIR MHEALTH AND UHEALTH","JUL-SEP 2015","2015","3","3","","","","","","e72","10.2196/mhealth.4438","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","2","2","0"
"Evaluating the Quality of Survey and Administrative Data with Generalized Multitrait-Multimethod Models","Oberski, D. L.; Kirchner, A.; Eckman, S.; Kreuter, F.","","","","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","2017","2017","112","520","","","","1477","1489","","10.1080/01621459.2017.1302338","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","0"
"Statistical Disclosure Limitation in the Presence of Edit Rules","Kim, Hang J.; Karr, Alan F.; Reiter, Jerome P.","","","","JOURNAL OF OFFICIAL STATISTICS","MAR 2015","2015","31","1","","","","121","138","","10.1515/JOS-2015-0006","","","8","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2","0"
"Estimating missing values in China's official socioeconomic statistics using progressive spatiotemporal Bayesian hierarchical modeling","Song, Chao; Yang, Xiu; Shi, Xun; Bo, Yanchen; Wang, Jinfeng","","","","SCIENTIFIC REPORTS","JUL 3 2018","2018","8","","","","","","","10055","10.1038/s41598-018-28322-z","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0"
"Simultaneous edit-imputation and disclosure limitation for business establishment data","Kim, Hang J.; Reiter, Jerome P.; Karr, Alan F.","","","","JOURNAL OF APPLIED STATISTICS","2018","2018","45","1","","","","63","82","","10.1080/02664763.2016.1267123","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0"
"Stop or Continue Data Collection: A Nonignorable Missing Data Approach for Continuous Variables","Paiva, Thais; Reiter, Jerome P.","","","","JOURNAL OF OFFICIAL STATISTICS","SEP 2017","2017","33","3","","","","579","599","","10.1515/JOS-2017-0028","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0"
