For:  Pollution havens and the trade in toxic chemicals: Evidence from US trade flows 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"How economic growth, renewable electricity and natural resources contribute to CO2 emissions?","Balsalobre-Lorente, Daniel; Shahbaz, Muhammad; Roubaud, David; Farhani, Sahbi","","","","ENERGY POLICY","FEB 2018","2018","113","","","","","356","367","","10.1016/j.enpol.2017.10.050","","","201","50.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","59","118","11"
"The impact of trade openness on global carbon dioxide emissions: Evidence from the top ten emitters among developing countries","Ertugrul, Hasan Murat; Cetin, Murat; Seker, Fahri; Dogan, Eyup","","","","ECOLOGICAL INDICATORS","AUG 2016","2016","67","","","","","543","555","","10.1016/j.ecolind.2016.03.027","","","118","19.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","24","24","51","4"
"A multi-regional input-output analysis of the pollution haven hypothesis from the perspective of global production fragmentation","Zhang, Zengkai; Zhu, Kunfu; Hewings, Geoffrey J. D.","","","","ENERGY ECONOMICS","MAY 2017","2017","64","","","","","13","23","","10.1016/j.eneco.2017.03.007","","","57","11.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","20","21","1"
"Will developing countries become pollution havens for developed countries? An empirical investigation in the Belt and Road","Cai, Xiang; Che, Xiahui; Zhu, Bangzhu; Zhao, Juan; Xie, Rui","","","","JOURNAL OF CLEANER PRODUCTION","OCT 10 2018","2018","198","","","","","624","632","","10.1016/j.jclepro.2018.06.291","","","52","13.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","33","7"
"Factors driving embodied carbon in international trade: a multiregional input-output gravity model","Duarte, Rosa; Pinilla, Vicente; Serrano, Ana","","","","ECONOMIC SYSTEMS RESEARCH","2018","2018","30","4","","","","545","566","","10.1080/09535314.2018.1450226","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","5"
"Decomposition of toxicity emission changes on the demand and supply sides: empirical study of the US industrial sector","Fujii, Hidemichi; Okamoto, Shunsuke; Kagawa, Shigemi; Managi, Shunsuke","","","","ENVIRONMENTAL RESEARCH LETTERS","DEC 2017","2017","12","12","","","","","","124008","10.1088/1748-9326/aa9c66","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","1"
"THE ENGINE AND THE REAPER: INDUSTRIALIZATION AND MORTALITY IN LATE NINETEENTH CENTURY JAPAN","Tang, John P.","","","","JOURNAL OF HEALTH ECONOMICS","DEC 2017","2017","56","","","","","145","162","","10.1016/j.jhealeco.2017.09.004","","","7","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","2"
"Under what conditions is mandatory disclosure most likely to cause organisational change?","Leong, Shane; Hazelton, James","","","","ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","JUN 10 2019","2019","32","3","","","","811","835","","10.1108/AAAJ-12-2015-2361","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"An Alternative Base Case for Modeling Trade and the Global Environment","Markusen, James R.","","","","JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS","SEP 2017","2017","4","3","1","","","895","925","","10.1086/693135","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Regional Difference in Spatial Effects: A Theoretical and Empirical Study on the Environmental Effects of FDI and Corruption in China","Tang, Dengli; Li, Shijie; Yang, Yuanhua; Gu, Lianglie","","","","DISCRETE DYNAMICS IN NATURE AND SOCIETY","FEB 1 2020","2020","2020","","","","","","","8654817","10.1155/2020/8654817","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
