For:  Copayments and Emergency Department Use Among Adult Medicaid Enrollees 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Does the extension of primary care practice opening hours reduce the use of emergency services?","Bruni, Matteo Lippi; Mammi, Irene; Ugolini, Cristina","","","","JOURNAL OF HEALTH ECONOMICS","DEC 2016","2016","50","","","","","144","155","","10.1016/j.jhealeco.2016.09.011","","","16","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","6","0"
"Reducing the use of out-of-hours primary care services: A survey among Dutch general practitioners","Keizer, Ellen; Maassen, Irene; Smits, Marleen; Wensing, Michel; Giesen, Paul","","","","EUROPEAN JOURNAL OF GENERAL PRACTICE","2016","2016","22","3","","","","189","195","","10.1080/13814788.2016.1178718","","","16","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","6","6","0"
"Small Cash Incentives Can Encourage Primary Care Visits By Low-Income People With New Health Care Coverage","Bradley, Cathy J.; Neumark, David","","","","HEALTH AFFAIRS","AUG 2017","2017","36","8","","","","1376","1384","","10.1377/hlthaff.2016.1455","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","0"
"Copayments and physicians visits: A panel data study of Swedish regions 2003-2012","Jakobsson, Niklas; Svensson, Mikael","","","","HEALTH POLICY","SEP 2016","2016","120","9","","","","1095","1099","","10.1016/j.healthpol.2016.07.010","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0"
"The effect of primary care visits on other health care utilization: A randomized controlled trial of cash incentives offered to low income, uninsured adults in Virginia","Bradley, Cathy J.; Neumark, David; Walker, Lauryn Saxe","","","","JOURNAL OF HEALTH ECONOMICS","NOV 2018","2018","62","","","","","121","133","","10.1016/j.jhealeco.2018.07.006","","","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"Emergency Medical Services Utilization Is Associated With Community Deprivation in Children","Riney, Lauren C.; Brokamp, Cole; Beck, Andrew F.; Pomerantz, Wendy J.; Schwartz, Hamilton P.; Florin, Todd A.","","","","PREHOSPITAL EMERGENCY CARE","MAR 4 2019","2019","23","2","","","","225","232","","10.1080/10903127.2018.1501124","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"The welfare effect of co-payment adjustments on emergency department visits in medical centers: Evidence from Taiwan","Chen, Wen-Yi","","","","HEALTH POLICY","NOV 2020","2020","124","11","","","","1192","1199","","10.1016/j.healthpol.2020.03.013","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Medicaid Expansion Reduced Emergency Department Visits by Low-income Adults Due to Barriers to Outpatient Care","Chou, Shih-Chuan; Gondi, Suhas; Weiner, Scott G.; Schuur, Jeremiah D.; Sommers, Benjamin D.","","","","MEDICAL CARE","JUN 2020","2020","58","6","","","","511","518","","10.1097/MLR.0000000000001305","Annual Meeting and National Scientific Assembly of the American-College-of-Emergency-Physicians (ACEP)","OCT 01-03, 2018","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Co-payment Policies and Breast and Cervical Cancer Screening in Medicaid","Sabik, Lindsay M.; Vichare, Anushree M.; Dahman, Bassam; Bradley, Cathy J.","","","","AMERICAN JOURNAL OF MANAGED CARE","FEB 2020","2020","26","2","","","","69","+","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-cost sharing policies and non-urgent emergency department visits","Xin, Haichang","","","","INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE","2018","2018","31","7","","","","735","745","","10.1108/IJHCQA-05-2017-0089","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
