For:  What Can We Learn about the Effects of Food Stamps on Obesity in the Presence of Misreporting? 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"PARTIAL IDENTIFICATION METHODS FOR EVALUATING FOOD ASSISTANCE PROGRAMS: A CASE STUDY OF THE CAUSAL IMPACT OF SNAP ON FOOD INSECURITY","Gundersen, Craig; Kreider, Brent; Pepper, John V.","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","JUL 2017","2017","99","4","","","","875","893","","10.1093/ajae/aax026","","","37","7.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","14","15","3"
"Understanding the Impacts of Food Consumer Choice and Food Policy Outcomes","Lusk, Jayson L.; McCluskey, Jill","","","","APPLIED ECONOMIC PERSPECTIVES AND POLICY","MAR 2018","2018","40","1","","","","5","21","","10.1093/aepp/ppx054","","","26","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","15","8","0"
"The Social Safety Net After Welfare Reform: Recent Developments and Consequences for Household Dynamics","Tach, Laura; Edin, Kathryn","","","Cook, KS; Massey, DS","ANNUAL REVIEW OF SOCIOLOGY, VOL 43","2017","2017","43","","","","","541","561","","10.1146/annurev-soc-060116-053300","","","20","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","8","0"
"ESTIMATING THE PRODUCTIVITY IMPACTS OF TECHNOLOGY ADOPTION IN THE PRESENCE OF MISCLASSIFICATION","Wossen, Tesfamicheal; Abdoulaye, Tahirou; Alene, Arega; Nguimkeu, Pierre; Feleke, Shiferaw; Rabbi, Ismail Y.; Haile, Mekbib G.; Manyong, Victor","","","","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","JAN 2019","2019","101","1","","","","1","16","","10.1093/ajae/aay017","","","18","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","0"
"Grocery Stores Are Not Associated with More Healthful Food for Participants in the Supplemental Nutrition Assistance Program","Lacko, Allison M.; Popkin, Barry M.; Taillie, Lindsey Smith","","","","JOURNAL OF THE ACADEMY OF NUTRITION AND DIETETICS","MAR 2019","2019","119","3","","","","400","415","","10.1016/j.jand.2018.06.006","","","4","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0"
"Measuring effects of SNAP on obesity at the intensive margin","Almada, Lorenzo N.; Tchernis, Rusty","","","","ECONOMICS & HUMAN BIOLOGY","SEP 2018","2018","31","","","","","150","163","","10.1016/j.ehb.2018.08.006","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0"
"It's a cruel summer: Household responses to reductions in government nutrition assistance","Almada, Lorenzo; McCarthy, Ian M.","","","","JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION","NOV 2017","2017","143","","","","","45","57","","10.1016/j.jebo.2017.08.009","","","3","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Estimating the Associations between SNAP and Food Insecurity, Obesity, and Food Purchases with Imperfect Administrative Measures of Participation","Courtemanche, Charles; Denteh, Augustine; Tchernis, Rusty","","","","SOUTHERN ECONOMIC JOURNAL","JUL 2019","2019","86","1","","","","202","228","","10.1002/soej.12364","Symposium on Food Access, Program Participation, and Health - Research using FoodAPS at the National-Bureau-of-Economic-Research Conference on Food Security","DEC 07-08, 2017","2","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Effects of Farm and Food Policy on Obesity in the United States","Alston, J. M.; Okrent, A. M.","","","","EFFECTS OF FARM AND FOOD POLICY ON OBESITY IN THE UNITED STATES","2017","2017","","","","","","1","1","","10.1057/978-1-137-47831-3","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Food insecurity, acculturation and diagnosis of CHD and related health outcomes among immigrant adults in the USA","Smith, Michael D.; Coleman-Jensen, Alisha","","","","PUBLIC HEALTH NUTRITION","FEB 2020","2020","23","3","","","","416","431","PII S1368980019001952","10.1017/S1368980019001952","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
