For:  Managing valuable knowledge in weak IP protection countries 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"The structural reshaping of globalization: Implications for strategic sectors, profiting from innovation, and the multinational enterprise","Petricevic, Olga; Teece, David J.","","","","JOURNAL OF INTERNATIONAL BUSINESS STUDIES","DEC 2019","2019","50","9","","","SI","1487","1512","","10.1057/s41267-019-00269-x","","","24","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","3"
"The future of international business research on corporate globalization that never was ...","Verbeke, Alain; Coeurderoy, Regis; Matt, Tanja","","","","JOURNAL OF INTERNATIONAL BUSINESS STUDIES","DEC 2018","2018","49","9","","","","1101","1112","","10.1057/s41267-018-0192-2","","","24","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","2"
"Adopting knowledge from reverse innovations? Transnational patents and signaling from an emerging economy","Huang, Kenneth G.; Li, Jiatao","","","","JOURNAL OF INTERNATIONAL BUSINESS STUDIES","SEP 2019","2019","50","7","","","","1078","1102","","10.1057/s41267-019-00241-9","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","2"
"Expatriate utilization, subsidiary knowledge creation and performance: The moderating role of subsidiary strategic context","Kawai, Norifumi; Chung, Chul","","","","JOURNAL OF WORLD BUSINESS","JAN 2019","2019","54","1","","","","24","36","","10.1016/j.jwb.2018.09.003","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","2"
"Offshoring Innovation to Emerging Countries: The Effects of IP Protection and Cultural Differences on Firms' Decision to Augment Versus Exploit Home-Base-Knowledge","Pisani, Niccolo; Enric Ricart, Joan","","","","MANAGEMENT INTERNATIONAL REVIEW","DEC 2018","2018","58","6","","","","871","909","","10.1007/s11575-018-0362-2","","","9","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0"
"The role of government affiliation in explaining firm innovativeness and profitability in emerging countries: Evidence from China","Wang, Chengqi; Kafouros, Mario; Yi, Jingtao; Hong, Junjie; Ganotakis, Panagiotis","","","","JOURNAL OF WORLD BUSINESS","APR 2020","2020","55","3","","","","","","101047","10.1016/j.jwb.2019.101047","","","7","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"Re-conceptualizing intellectual property regimes in international business research: Foreign-friendliness paradoxes facing MNCs in China","Prud'homme, Dan","","","","JOURNAL OF WORLD BUSINESS","JUN 2019","2019","54","4","","","","399","419","","10.1016/j.jwb.2019.02.002","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","1"
"Nurturing International Business research through Global Value Chains literature: A review and discussion of future research opportunities","De Marchi, Valentina; Di Maria, Eleonora; Golini, Ruggero; Perri, Alessandra","","","","INTERNATIONAL BUSINESS REVIEW","OCT 2020","2020","29","5","","","","","","101708","10.1016/j.ibusrev.2020.101708","","","5","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"Regional Integration, Multinational Enterprise Strategy and the Impact of Country-level Risk: The Case of the EMU","Hillemann, Jenny; Verbeke, Alain; Oh, Won-Yong","","","","BRITISH JOURNAL OF MANAGEMENT","OCT 2019","2019","30","4","","","","908","925","","10.1111/1467-8551.12326","","","5","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0"
"Defining and Measuring the Institutional Context of National Intellectual Property Systems in a post-TRIPS world","Papageorgiadis, Nikolaos; McDonald, Frank","","","","JOURNAL OF INTERNATIONAL MANAGEMENT","MAR 2019","2019","25","1","","","","3","18","","10.1016/j.intman.2018.05.002","","","5","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0"
