For:  TUSKEGEE AND THE HEALTH OF BLACK MEN 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Using social and behavioural science to support COVID-19 pandemic response","Van Bavel, Jay J.; Baicker, Katherine; Boggio, Paulo S.; Capraro, Valerio; Cichocka, Aleksandra; Cikara, Mina; Crockett, Molly J.; Crum, Alia J.; Douglas, Karen M.; Druckman, James N.; Drury, John; Dube, Oeindrila; Ellemers, Naomi; Finkel, Eli J.; Fowler, James H.; Gelfand, Michele; Han, Shihui; Haslam, S. Alexander; Jetten, Jolanda; Kitayama, Shinobu; Mobbs, Dean; Napper, Lucy E.; Packer, Dominic J.; Pennycook, Gordon; Peters, Ellen; Petty, Richard E.; Rand, David G.; Reicher, Stephen D.; Schnall, Simone; Shariff, Azim; Skitka, Linda J.; Smith, Sandra Susan; Sunstein, Cass R.; Tabri, Nassim; Tucker, Joshua A.; van der Linden, Sander; van Lange, Paul; Weeden, Kim A.; Wohl, Michael J. A.; Zaki, Jamil; Zion, Sean R.; Willer, Robb","","","","NATURE HUMAN BEHAVIOUR","MAY 2020","2020","4","5","","","","460","471","","10.1038/s41562-020-0884-z","","","393","196.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","336","57"
"Dissecting racial bias in an algorithm used to manage the health of populations","Obermeyer, Ziad; Powers, Brian; Vogeli, Christine; Mullainathan, Sendhil","","","","SCIENCE","OCT 25 2019","2019","366","6464","","","","447","+","aax2342","10.1126/science.aax2342","","","190","63.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","170","16"
"Police killings and their spillover effects on the mental health of black Americans: a population-based, quasi-experimental study","Bor, Jacob; Venkataramani, Atheendar S.; Williams, David R.; Tsai, Alexander C.","","","","LANCET","JUL 28 2018","2018","392","10144","","","","302","310","","10.1016/S0140-6736(18)31130-9","","","118","29.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","30","73","8"
"Does Diversity Matter for Health? Experimental Evidence from Oakland","Alsan, Marcella; Garrick, Owen; Graziano, Grant","","","","AMERICAN ECONOMIC REVIEW","DEC 2019","2019","109","12","","","","4071","4111","","10.1257/aer.20181446","","","26","8.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","2"
"Disparities in Coronavirus 2019 Reported Incidence, Knowledge, and Behavior Among US Adults","Alsan, Marcella; Stantcheva, Stefanie; Yang, David; Cutler, David","","","","JAMA NETWORK OPEN","JUN 18 2020","2020","3","6","","","","","","e2012403","10.1001/jamanetworkopen.2020.12403","","","21","10.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","6"
"Racial and ethnic disparities in medication adherence among privately insured patients in the United States","Xie, Zhiwen; St Clair, Patricia; Goldman, Dana P.; Joyce, Geoffrey","","","","PLOS ONE","FEB 14 2019","2019","14","2","","","","","","e0212117","10.1371/journal.pone.0212117","","","18","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","2"
"A systematic review of medical mistrust measures","Williamson, Lillie D.; Bigman, Cabral A.","","","","PATIENT EDUCATION AND COUNSELING","OCT 2018","2018","101","10","","","","1786","1794","","10.1016/j.pec.2018.05.007","","","18","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","1"
"Putting the data before the algorithm in big data addressing personalized healthcare","Cahan, Eli M.; Hernandez-Boussard, Tina; Thadaney-Israni, Sonoo; Rubin, Daniel L.","","","","NPJ DIGITAL MEDICINE","AUG 19 2019","2019","2","","","","","","","78","10.1038/s41746-019-0157-2","","","12","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","1"
"Genetics and Education: Recent Developments in the Context of an Ugly History and an Uncertain Future","Martschenko, Daphne; Trejo, Sam; Domingue, Benjamin W.","","","","AERA OPEN","FEB 19 2019","2019","5","1","","","","","","","10.1177/2332858418810516","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","1"
"Police Brutality and Mistrust in Medical Institutions","Alang, Sirry; McAlpine, Donna D.; Hardeman, Rachel","","","","JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES","AUG 2020","2020","7","4","","","","760","768","","10.1007/s40615-020-00706-w","","","9","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1"
