For:  Measuring plant level energy efficiency and technical change in the US metal-based durable manufacturing sector using stochastic frontier analysis 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Impacts of agricultural industrial agglomeration on China's agricultural energy efficiency: A spatial econometrics analysis","Wu, Jianzhai; Ge, Zhangming; Han, Shuqing; Xing, Liwei; Zhu, Mengshuai; Zhang, Jing; Liu, Jifang","","","","JOURNAL OF CLEANER PRODUCTION","JUL 1 2020","2020","260","","","","","","","121011","10.1016/j.jclepro.2020.121011","","","6","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2"
"Handling heterogeneity in frontier modeling of city-level energy efficiency: The case of China","Zhang, H.; Fan, L. W.; Zhou, P.","","","","APPLIED ENERGY","DEC 1 2020","2020","279","","","","","","","115846","10.1016/j.apenergy.2020.115846","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Energy efficiency assessment and resource optimization using novel DEA model: evidence from complex chemical processes","Chen, Kai; Liu, Shuang; Han, Yongming; Zhang, Yang; Geng, Zhiqiang; Liu, Lin; Peng, Tao; Ding, Yifan","","","","ENERGY EFFICIENCY","OCT 2020","2020","13","7","","","","1427","1439","","10.1007/s12053-020-09892-2","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Directed technological change, energy and more: a modern story","Hou, Zheng; Roseta-Palma, Catarina; Ramalho, Joaquim J. S.","","","","ENVIRONMENT AND DEVELOPMENT ECONOMICS","DEC 2020","2020","25","6","","","SI","611","633","PII S1355770X2000008X","10.1017/S1355770X2000008X","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Does market-based electricity price affect China's energy efficiency?","Zhao Xin-gang; Hu Shu-ran","","","","ENERGY ECONOMICS","SEP 2020","2020","91","","","","","","","104909","10.1016/j.eneco.2020.104909","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sources of provincial carbon intensity reduction potential in China: A non-parametric fractional programming approach","He, Weijun; Zhang, Bin; Ding, Tao","","","","SCIENCE OF THE TOTAL ENVIRONMENT","AUG 15 2020","2020","730","","","","","","","139037","10.1016/j.scitotenv.2020.139037","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Energy Intensity and Long- and Short-Term Efficiency in US Manufacturing Industry","Badunenko, Oleg; Kumbhakar, Subal C.","","","","ENERGIES","AUG 2020","2020","13","15","","","","","","3954","10.3390/en13153954","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Energy consumption, environmental pollution, and technological innovation efficiency: taking industrial enterprises in China as empirical analysis object","Miao, Cheng-lin; Meng, Xiao-na; Duan, Meng-meng; Wu, Xin-yu","","","","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","SEP 2020","2020","27","27","","","","34147","34157","","10.1007/s11356-020-09537-y","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Relative Effectiveness of Energy Efficiency Programs versus Market Based Climate Policies in the Chemical Industry","Boyd, Gale A.; Lee, Jonathan M.","","","","ENERGY JOURNAL","MAY 2020","2020","41","3","","","","39","61","","10.5547/01956574.41.3.gboy","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carbon Sequestration Total Factor Productivity Growth and Decomposition: A Case of the Yangtze River Economic Belt of China","Rao, Guangming; Su, Bin; Li, Jinlian; Wang, Yong; Zhou, Yanhua; Wang, Zhaolin","","","","SUSTAINABILITY","DEC 2019","2019","11","23","","","","","","6809","10.3390/su11236809","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
