For:  How do economic downturns affect the mental health of children? Evidence from the National Health Interview Survey 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Coronavirus Disease 2019 (COVID-19) and Mental Health for Children and Adolescents","Golberstein, Ezra; Wen, Hefei; Miller, Benjamin F.","","","","JAMA PEDIATRICS","SEP 2020","2020","174","9","","","","819","820","","10.1001/jamapediatrics.2020.1456","","","73","36.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","10"
"Building resilient societies after COVID-19: the case for investing in maternal, neonatal, and child health","Jacob, Chandni Maria; Briana, Despina D.; Di Renzo, Gian Carlo; Modi, Neena; Bustreo, Flavia; Conti, Gabriella; Malamitsi-Puchner, Ariadne; Hanson, Mark","","","","LANCET PUBLIC HEALTH","NOV 2020","2020","5","11","","","","E624","E627","","10.1016/S2468-2667(20)30200-0","","","5","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2"
"Impact of COVID-19 pandemic on the mental health of children in Bangladesh: A cross-sectional study","Yeasmin, Sabina; Banik, Rajon; Hossain, Sorif; Hossain, Md Nazmul; Mahumud, Raju; Salma, Nahid; Hossain, Md Moyazzem","","","","CHILDREN AND YOUTH SERVICES REVIEW","OCT 2020","2020","117","","","","","","","105277","10.1016/j.childyouth.2020.105277","","","5","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3"
"Anxiety in Older Adolescents at the Time of COVID-19","Smirni, Pietro; Lavanco, Gioacchino; Smirni, Daniela","","","","JOURNAL OF CLINICAL MEDICINE","OCT 2020","2020","9","10","","","","","","3064","10.3390/jcm9103064","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"Child Development During the COVID-19 Pandemic Through a Life Course Theory Lens","Benner, Aprile D.; Mistry, Rashmita S.","","","","CHILD DEVELOPMENT PERSPECTIVES","DEC 2020","2020","14","4","","","","236","243","","10.1111/cdep.12387","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Factors affecting the anxiety levels of adolescents in home-quarantine duringCOVID-19 pandemic in Turkey","Kilincel, Senay; Kilincel, Oguzhan; Muratdagi, Gurkan; Aydin, Abdulkadir; Usta, Mirac Baris","","","","ASIA-PACIFIC PSYCHIATRY","","2020","","","","","","","","e12406","10.1111/appy.12406","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Mental health impact of COVID-19 lockdown in children and adolescents: Emerging challenges for mental health professionals","Singh, Nitika; Gupta, Pawan Kumar; Kar, Sujita Kumar","","","","JOURNAL OF INDIAN ASSOCIATION FOR CHILD AND ADOLESCENT MENTAL HEALTH","JUL 2020","2020","16","3","","","","194","198","","","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ESCAP CovCAP survey of heads of academic departments to assess the perceived initial (April/May 2020) impact of the COVID-19 pandemic on child and adolescent psychiatry services","Revet, Alexis; Hebebrand, Johannes; Anagnostopoulos, Dimitris; Kehoe, Laura A.; Klauser, Paul","COVID-19 Child Adolescent Psychiat","","","EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","","2021","","","","","","","","","10.1007/s00787-020-01699-x","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Examining the impacts of the COVID-19 pandemic on family mental health in Canada: findings from a national cross-sectional study","Gadermann, Anne C.; Thomson, Kimberly C.; Richardson, Chris G.; Gagne, Monique; McAuliffe, Corey; Hirani, Saima; Jenkins, Emily","","","","BMJ OPEN","2021","2021","11","1","","","","","","e042871","10.1136/bmjopen-2020-042871","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Access to infertility evaluation and treatment in two public fertility clinics and the reasons for withholding it: a prospective survey cohort study of healthcare professionals","Elenis, Evangelia; Skoog Svanberg, Agneta; Leandersson, Pia; Lind, Judith; Sydsjo, Gunilla","","","","BMJ OPEN","2020","2020","10","12","","","","","","e041538","10.1136/bmjopen-2020-041538","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
