For:  FIRMING UP INEQUALITY 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"THE FALL OF THE LABOR SHARE AND THE RISE OF SUPERSTAR FIRMS","Autor, David; Dorn, David; Katz, Lawrence F.; Patterson, Christina; Van Reenen, John","","","","QUARTERLY JOURNAL OF ECONOMICS","MAY 2020","2020","135","2","","","","645","709","","10.1093/qje/qjaa004","","","38","19.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8"
"CAPITALISTS IN THE TWENTY-FIRST CENTURY","Smith, Matthew; Yagan, Danny; Zidar, Owen; Zwick, Eric","","","","QUARTERLY JOURNAL OF ECONOMICS","NOV 2019","2019","134","4","","","","1675","1745","","10.1093/qje/qjz020","","","19","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","1"
"Declining Job Quality in the United States: Explanations and Evidence","Howell, David R.; Kalleberg, Arne L.","","","","RSF-THE RUSSELL SAGE JOURNAL OF THE SOCIAL SCIENCES","SEP 2019","2019","5","4","","","","1","53","","10.7758/RSF.2019.5.4.01","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0"
"WHO PROFITS FROM PATENTS? RENT-SHARING AT INNOVATIVE FIRMS","Kline, Patrick; Petkova, Neviana; Williams, Heidi; Zidar, Owen","","","","QUARTERLY JOURNAL OF ECONOMICS","AUG 2019","2019","134","3","","","","1343","1404","","10.1093/qje/qjz011","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1"
"Rethinking Measurement of Pay Disparity and Its Relation to Firm Performance","Rouen, Ethan","","","","ACCOUNTING REVIEW","JAN 2020","2020","95","1","","","","343","378","","10.2308/accr-52440","","","7","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1"
"Rising between-workplace inequalities in high-income countries","Tomaskovic-Devey, Donald; Rainey, Anthony; Avent-Holt, Dustin; Bandelj, Nina; Boza, Istvan; Cort, David; Godechot, Olivier; Hajdu, Gergely; Hallsten, Martin; Henriksen, Lasse Folke; Hermansen, Are Skeie; Hou, Feng; Jung, Jiwook; Kanjuo-Mrcela, Aleksandra; King, Joe; Kodama, Naomi; Kristal, Tali; Krizkova, Alena; Lippenyi, Zoltan; Melzer, Silvia Maja; Mun, Eunmi; Penner, Andrew; Petersen, Trond; Poje, Andreja; Safi, Mirna; Thaning, Max; Tufail, Zaibu","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","APR 28 2020","2020","117","17","","","","9277","9283","","10.1073/pnas.1918249117","","","4","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Solidarity Within and Across Workplaces: How Cross-Workplace Coordination Affects Earnings Inequality","Wilmers, Nathan","","","","RSF-THE RUSSELL SAGE JOURNAL OF THE SOCIAL SCIENCES","SEP 2019","2019","5","4","","","","190","215","","10.7758/RSF.2019.5.4.07","","","4","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0"
"Unions, Internationalization, Tasks, Firms, and Worker Characteristics: A Detailed Decomposition Analysis of Rising Wage Inequality in Germany","Biewen, Martin; Seckler, Matthias","","","","JOURNAL OF ECONOMIC INEQUALITY","DEC 2019","2019","17","4","","","","461","498","","10.1007/s10888-019-09422-w","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"THE DRIVERS OF INCOME INEQUALITY IN RICH COUNTRIES","Nolan, Brian; Richiardi, Matteo G.; Valenzuela, Luis","","","","JOURNAL OF ECONOMIC SURVEYS","SEP 2019","2019","33","4","","","","1285","1324","","10.1111/joes.12328","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"THE ECONOMICS OF BIG DATA AND ARTIFICIAL INTELLIGENCE","Mihet, Roxana; Philippon, Thomas","","","Choi, JJ; Ozkan, B","DISRUPTIVE INNOVATION IN BUSINESS AND FINANCE IN THE DIGITAL WORLD","2019","2019","20","","","","","29","43","","10.1108/S1569-376720190000020006","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0"
