For:  Diversification, cost structure, and the risk premium of multinational corporations 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Future directions in international financial integration research - A crowdsourced perspective","Lucey, Brian M.; Vigne, Samuel A.; Ballester, Laura; Barbopoulos, Leonidas; Brzeszczynski, Janusz; Carchano, Oscar; Dimic, Nebojsa; Fernandez, Viviana; Gogolin, Fabian; Gonzalez-Urteaga, Ana; Goodell, John W.; Helbing, Pia; Ichev, Riste; Kearney, Fearghal; Laing, Elaine; Larkin, Charles J.; Lindblad, Annika; Loncarski, Igor; Ly, Kim Cuong; Marinc, Matej; McGee, Richard J.; McGroarty, Frank; Neville, Conor; O'Hagan-Luff, Martha; Piljak, Vanja; Sevic, Aleksandar; Sheng, Xin; Stafylas, Dimitrios; Urquhart, Andrew; Versteeg, Roald; Vu, Anh N.; Wolfe, Simon; Yarovaya, Larisa; Zaghini, Andrea","","","","INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS","JAN 2018","2018","55","","","","","35","49","","10.1016/j.irfa.2017.10.008","","","19","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","1"
"RISK, RETURNS, AND MULTINATIONAL PRODUCTION","Fillat, Jose L.; Garetto, Stefania","","","","QUARTERLY JOURNAL OF ECONOMICS","NOV 2015","2015","130","4","","","","2027","2073","","10.1093/qje/qjv031","","","16","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","3","5","1"
"Host-country financial development and multinational activity","Bilir, L. Kamran; Chor, Davin; Manova, Kalina","","","","EUROPEAN ECONOMIC REVIEW","JUN 2019","2019","115","","","","","192","220","","10.1016/j.euroecorev.2019.02.008","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","0"
"MULTINATIONAL FIRMS AND INTERNATIONAL BUSINESS CYCLE TRANSMISSION","Cravino, Javier; Levchenko, Andrei A.","","","","QUARTERLY JOURNAL OF ECONOMICS","MAY 2017","2017","132","2","","","","921","962","","10.1093/qje/qjw043","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","2","0"
"The Kuznets curve for export diversification and income inequality: Evidence from a global sample","Thai-Ha Le; Canh Phuc Nguyen; Thanh Dinh Su; Binh Tran-Nam","","","","ECONOMIC ANALYSIS AND POLICY","MAR 2020","2020","65","","","","","21","39","","10.1016/j.eap.2019.11.004","","","8","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2"
"The real effects of financial (dis)integration: A multi-country equilibrium analysis of Europe","Chakraborty, Indraneel; Hai, Rong; Holter, Hans A.; Stepanchuk, Serhiy","","","","JOURNAL OF MONETARY ECONOMICS","JAN 2017","2017","85","","","","","28","45","","10.1016/j.jmoneco.2016.11.003","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","0"
"Offshore production and business cycle dynamics with heterogeneous firms","Zlate, Andrei","","","","JOURNAL OF INTERNATIONAL ECONOMICS","MAY 2016","2016","100","","","","","34","49","","10.1016/j.jinteco.2016.01.004","","","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","0","0"
"Uncertainty, risk aversion and international trade","Gervais, Antoine","","","","JOURNAL OF INTERNATIONAL ECONOMICS","NOV 2018","2018","115","","","","","145","158","","10.1016/j.jinteco.2018.09.001","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0"
"Trade and investment in the global economy: A multi-country dynamic analysis","Anderson, James E.; Larch, Mario; Yotov, Yoto V.","","","","EUROPEAN ECONOMIC REVIEW","NOV 2019","2019","120","","","","","","","103311","10.1016/j.euroecorev.2019.103311","","","2","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Mononationals: The Diversification Benefits of Investing in Companies with No Foreign Sales","Mullen, Cormac; Berrill, Jenny","","","","FINANCIAL ANALYSTS JOURNAL","2017","2017","73","2","","","","116","132","","10.2469/faj.v73.n2.3","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
